==========================================
HPA Experiment Monitor
==========================================
Namespace:       llm-d-inference-scheduler
HPA:             vllm-hpa-combined
Deployment:      ms-inference-scheduling-llm-d-modelservice-decode
Sample Interval: 5s
Output Dir:      ./experiment-data/hpa-experiment-20251124-144139
==========================================

✓ Initialized experiment: hpa-experiment-20251124-144139
✓ Output directory: ./experiment-data/hpa-experiment-20251124-144139

Starting monitoring... (Press Ctrl+C to stop)

[2025-11-24T19:41:40Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 0.0%/800% | Jobs: 0 active, 0 completed
[2025-11-24T19:41:47Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 0.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:41:53Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 0.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:42:00Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 0.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:42:06Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 0.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:42:13Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 0.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:42:20Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 0.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:42:26Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 0.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:42:32Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 0.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:42:40Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 0.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:42:46Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 0.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:42:54Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 0.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:43:00Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 0.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:43:07Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 41.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:43:13Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 41.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:43:19Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 41.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:43:26Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 41.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:43:32Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 41.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:43:39Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 58.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:43:45Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 58.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:43:51Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 58.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:43:57Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 58.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:44:04Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 58.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:44:10Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 33.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:44:16Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 33.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:44:23Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 33.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:44:29Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 33.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:44:36Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 39.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:44:43Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 39.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:44:49Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 39.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:44:56Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 39.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:45:02Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 39.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:45:08Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 45.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:45:14Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 45.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:45:20Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 45.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:45:27Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 45.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:45:33Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 45.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:45:39Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 40.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:45:45Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 40.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:45:52Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 40.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:45:58Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 40.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:46:04Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 40.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:46:10Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 58.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:46:17Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 58.0%/800% | Jobs: 1 active, 0 completed
[2025-11-24T19:46:23Z] Replicas: 1/1 | Waiting: 0.0/2 | KV Cache: 58.0%/800% | Jobs: 1 active, 0 completed
