action,cost,current_replicas,event_type,itl,kv_cache_percent,kv_cache_usage,non_saturated_replicas,pod,queue_length,replicas,scale_down_safe,should_scale_up,target_replicas,timestamp,total_replicas,ttft
,10.0,,metrics,0.0,,,,,,1,,,,2025-11-28T20:23:18.772Z,,0.0
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T20:23:18.774Z,,
,,,queue,,,,,,,,,,,2025-11-28T20:23:18.774Z,,
,,,kv_cache,,0.0,0.0,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T20:23:18.774Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T20:23:18.774Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:23:18.774Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:23:18.774Z,1,
no-change,,1,scaling_decision,,,,,,,,,,1,2025-11-28T20:23:18.774Z,,
,10.0,,metrics,0.0,,,,,,1,,,,2025-11-28T20:23:18.984Z,,0.0
,,,kv_cache,,0.0,0.0,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T20:23:18.986Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T20:23:18.986Z,,
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T20:23:18.986Z,,
,,,queue,,,,,,,,,,,2025-11-28T20:23:18.986Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:23:18.986Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:23:18.986Z,1,
no-change,,1,scaling_decision,,,,,,,,,,1,2025-11-28T20:23:18.986Z,,
,10.0,,metrics,0.0,,,,,,1,,,,2025-11-28T20:23:48.888Z,,0.0
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T20:23:48.889Z,,
,,,queue,,,,,,,,,,,2025-11-28T20:23:48.889Z,,
,,,kv_cache,,0.0,0.0,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T20:23:48.889Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T20:23:48.889Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:23:48.889Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:23:48.889Z,1,
no-change,,1,scaling_decision,,,,,,,,,,1,2025-11-28T20:23:48.889Z,,
,10.0,,metrics,0.0,,,,,,1,,,,2025-11-28T20:23:49.002Z,,0.0
,,,kv_cache,,0.0,0.0,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T20:23:49.003Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T20:23:49.003Z,,
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T20:23:49.003Z,,
,,,queue,,,,,,,,,,,2025-11-28T20:23:49.003Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:23:49.003Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:23:49.003Z,1,
no-change,,1,scaling_decision,,,,,,,,,,1,2025-11-28T20:23:49.003Z,,
,10.0,,metrics,0.0,,,,,,1,,,,2025-11-28T20:24:18.915Z,,0.0
,,,kv_cache,,0.0,0.0,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T20:24:18.916Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T20:24:18.916Z,,
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T20:24:18.916Z,,
,,,queue,,,,,,,,,,,2025-11-28T20:24:18.916Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:24:18.916Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:24:18.916Z,1,
no-change,,1,scaling_decision,,,,,,,,,,1,2025-11-28T20:24:18.916Z,,
