action,cost,current_replicas,event_type,itl,kv_cache_percent,kv_cache_usage,pod,queue_length,replicas,target_replicas,timestamp,ttft
,10.0,,metrics,0.0,,,,,1,,2025-12-09T20:32:34.224Z,0.0
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T20:32:34.225Z,
,,,queue,,,,,,,,2025-12-09T20:32:34.225Z,
,,,kv_cache,,0.0,0.0,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T20:32:34.225Z,
,,,kv_cache,,,,,,,,2025-12-09T20:32:34.225Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-09T20:32:34.227Z,
,10.0,,metrics,0.0,,,,,1,,2025-12-09T20:33:34.252Z,0.0
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T20:33:34.253Z,
,,,queue,,,,,,,,2025-12-09T20:33:34.253Z,
,,,kv_cache,,0.0,0.0,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T20:33:34.253Z,
,,,kv_cache,,,,,,,,2025-12-09T20:33:34.253Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-09T20:33:34.255Z,
,10.0,,metrics,0.0,,,,,1,,2025-12-09T20:34:34.283Z,0.0
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T20:34:34.284Z,
,,,queue,,,,,,,,2025-12-09T20:34:34.284Z,
,,,kv_cache,,0.0,0.0,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T20:34:34.285Z,
,,,kv_cache,,,,,,,,2025-12-09T20:34:34.285Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-09T20:34:34.286Z,
,10.0,,metrics,11.7,,,,,1,,2025-12-09T20:35:34.311Z,22.84
,,,kv_cache,,16.1,0.161,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T20:35:34.312Z,
,,,kv_cache,,,,,,,,2025-12-09T20:35:34.312Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T20:35:34.312Z,
,,,queue,,,,,,,,2025-12-09T20:35:34.312Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-09T20:35:34.314Z,
,10.0,,metrics,14.68,,,,,1,,2025-12-09T20:36:34.340Z,29.12
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T20:36:34.342Z,
,,,queue,,,,,,,,2025-12-09T20:36:34.342Z,
