action,cost,current_replicas,event_type,itl,kv_cache_percent,kv_cache_usage,non_saturated_replicas,pod,queue_length,replicas,scale_down_safe,should_scale_up,target_replicas,timestamp,total_replicas,ttft
,,,queue,,,,,,,,,,,2025-11-28T01:54:15.059Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T01:54:15.059Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T01:54:15.061Z,,
,,,queue,,,,,,,,,,,2025-11-28T01:54:15.061Z,,
,,,queue,,,,,,,,,,,2025-11-28T01:54:45.069Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T01:54:45.069Z,,
,,,queue,,,,,,,,,,,2025-11-28T01:54:45.073Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T01:54:45.074Z,,
,,,queue,,,,,,,,,,,2025-11-28T01:55:15.087Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T01:55:15.087Z,,
,,,queue,,,,,,,,,,,2025-11-28T01:55:15.094Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T01:55:15.094Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T01:55:45.108Z,,
,,,queue,,,,,,,,,,,2025-11-28T01:55:45.108Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T01:55:45.112Z,,
,,,queue,,,,,,,,,,,2025-11-28T01:55:45.112Z,,
,,,queue,,,,,,,,,,,2025-11-28T01:56:15.119Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T01:56:15.119Z,,
,,,queue,,,,,,,,,,,2025-11-28T01:56:15.123Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T01:56:15.124Z,,
,20.0,,metrics,0.0,,,,,,2,,,,2025-11-28T01:56:45.132Z,,0.0
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9xn6rl,0,,,,,2025-11-28T01:56:45.133Z,,
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T01:56:45.134Z,,
,,,queue,,,,,,,,,,,2025-11-28T01:56:45.134Z,,
,,,kv_cache,,0.0,0.0,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9xn6rl,,,,,,2025-11-28T01:56:45.134Z,,
,,,kv_cache,,0.0,0.0,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T01:56:45.134Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T01:56:45.134Z,,
,,,capacity_analysis,,,,2,,,,True,False,,2025-11-28T01:56:45.435Z,2,
,,,capacity_analysis,,,,2,,,,True,False,,2025-11-28T01:56:45.435Z,2,
scale-down,,2,scaling_decision,,,,,,,,,,1,2025-11-28T01:56:45.435Z,,
,20.0,,metrics,0.0,,,,,,2,,,,2025-11-28T01:56:45.449Z,,0.0
,,,kv_cache,,0.0,0.0,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9xn6rl,,,,,,2025-11-28T01:56:45.451Z,,
,,,kv_cache,,0.0,0.0,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T01:56:45.451Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T01:56:45.451Z,,
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9xn6rl,0,,,,,2025-11-28T01:56:45.451Z,,
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T01:56:45.451Z,,
,,,queue,,,,,,,,,,,2025-11-28T01:56:45.451Z,,
