timestamp,kv_usage_mean,kv_usage_max,kv_usage_min,kv_pct_mean,kv_pct_max,kv_pct_min,time_relative
2025-12-07 23:59:12.344000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-07 23:59:12.361000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.00028333333333333335
2025-12-08 00:00:12.370000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0004333333333333
2025-12-08 00:00:12.388000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0007333333333333
2025-12-08 00:01:12.391000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,2.000783333333333
2025-12-08 00:01:12.407000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,2.00105
2025-12-08 00:02:12.412000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,3.0011333333333337
2025-12-08 00:02:12.430000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,3.0014333333333334
2025-12-08 00:03:12.434000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,4.0015
2025-12-08 00:03:12.449000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,4.0017499999999995
2025-12-08 00:04:12.455000+00:00,0.076,0.076,0.076,7.6,7.6,7.6,5.00185
2025-12-08 00:04:12.486000+00:00,0.076,0.076,0.076,7.6,7.6,7.6,5.002366666666666
2025-12-08 00:05:12.491000+00:00,0.068,0.068,0.068,6.8,6.8,6.8,6.00245
2025-12-08 00:05:12.506000+00:00,0.068,0.068,0.068,6.8,6.8,6.8,6.0027
2025-12-08 00:06:12.510000+00:00,0.079,0.079,0.079,7.9,7.9,7.9,7.002766666666667
2025-12-08 00:06:12.526000+00:00,0.079,0.079,0.079,7.9,7.9,7.9,7.003033333333334
2025-12-08 00:07:12.533000+00:00,0.286,0.286,0.286,28.6,28.6,28.6,8.00315
2025-12-08 00:07:12.554000+00:00,0.286,0.286,0.286,28.6,28.6,28.6,8.003499999999999
2025-12-08 00:08:12.553000+00:00,0.292,0.292,0.292,29.2,29.2,29.2,9.003483333333332
2025-12-08 00:08:12.570000+00:00,0.292,0.292,0.292,29.2,29.2,29.2,9.003766666666667
2025-12-08 00:09:12.577000+00:00,0.289,0.289,0.289,28.9,28.9,28.9,10.003883333333333
2025-12-08 00:09:12.592000+00:00,0.289,0.289,0.289,28.9,28.9,28.9,10.004133333333334
2025-12-08 00:10:12.606000+00:00,0.523,0.523,0.523,52.3,52.3,52.3,11.004366666666666
2025-12-08 00:10:12.626000+00:00,0.523,0.523,0.523,52.3,52.3,52.3,11.004700000000001
2025-12-08 00:11:12.638000+00:00,0.829,0.829,0.829,82.9,82.9,82.9,12.0049
2025-12-08 00:11:12.670000+00:00,0.829,0.829,0.829,82.9,82.9,82.9,12.005433333333334
2025-12-08 00:12:12.668000+00:00,0.679,0.679,0.679,67.9,67.9,67.9,13.0054
2025-12-08 00:12:12.690000+00:00,0.679,0.679,0.679,67.9,67.9,67.9,13.005766666666666
2025-12-08 00:13:12.694000+00:00,0.2235,0.255,0.192,22.35,25.5,19.2,14.005833333333333
2025-12-08 00:13:12.710000+00:00,0.2235,0.255,0.192,22.35,25.5,19.2,14.0061
2025-12-08 00:14:12.716000+00:00,0.1605,0.184,0.137,16.049999999999997,18.4,13.7,15.0062
2025-12-08 00:14:12.732000+00:00,0.1605,0.184,0.137,16.049999999999997,18.4,13.7,15.006466666666666
2025-12-08 00:15:12.741000+00:00,0.2835,0.427,0.14,28.35,42.7,14.0,16.006616666666666
2025-12-08 00:15:12.757000+00:00,0.2835,0.427,0.14,28.35,42.7,14.0,16.006883333333334
2025-12-08 00:16:12.762000+00:00,0.696,0.696,0.696,69.6,69.6,69.6,17.006966666666667
2025-12-08 00:16:12.778000+00:00,0.696,0.696,0.696,69.6,69.6,69.6,17.007233333333332
2025-12-08 00:17:12.785000+00:00,0.219,0.219,0.219,21.9,21.9,21.9,18.00735
2025-12-08 00:17:12.800000+00:00,0.219,0.219,0.219,21.9,21.9,21.9,18.0076
2025-12-08 00:18:12.804000+00:00,0.10350000000000001,0.195,0.012,10.35,19.5,1.2,19.00766666666667
2025-12-08 00:18:12.823000+00:00,0.10350000000000001,0.195,0.012,10.35,19.5,1.2,19.007983333333335
2025-12-08 00:19:12.830000+00:00,0.237,0.237,0.237,23.7,23.7,23.7,20.008100000000002
2025-12-08 00:19:12.847000+00:00,0.237,0.237,0.237,23.7,23.7,23.7,20.00838333333333
2025-12-08 00:20:12.852000+00:00,0.097,0.097,0.097,9.7,9.7,9.7,21.008466666666667
2025-12-08 00:20:12.868000+00:00,0.097,0.097,0.097,9.7,9.7,9.7,21.008733333333332
2025-12-08 00:21:12.879000+00:00,0.09,0.09,0.09,9.0,9.0,9.0,22.008916666666668
2025-12-08 00:21:12.896000+00:00,0.09,0.09,0.09,9.0,9.0,9.0,22.0092
2025-12-08 00:22:12.901000+00:00,0.081,0.081,0.081,8.1,8.1,8.1,23.009283333333332
2025-12-08 00:22:12.917000+00:00,0.081,0.081,0.081,8.1,8.1,8.1,23.00955
2025-12-08 00:23:12.926000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,24.009700000000002
2025-12-08 00:23:12.942000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,24.009966666666667
