action,cost,current_replicas,event_type,itl,kv_cache_percent,kv_cache_usage,pod,queue_length,replicas,target_replicas,timestamp,ttft
,10.0,,metrics,0.0,,,,,1,,2025-12-07T23:59:12.343Z,0.0
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4c46p59,0,,,2025-12-07T23:59:12.344Z,
,,,kv_cache,,0.0,0.0,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4c46p59,,,,2025-12-07T23:59:12.344Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-07T23:59:12.346Z,
,10.0,,metrics,0.0,,,,,1,,2025-12-07T23:59:12.359Z,0.0
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4c46p59,0,,,2025-12-07T23:59:12.360Z,
,,,kv_cache,,0.0,0.0,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4c46p59,,,,2025-12-07T23:59:12.361Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-07T23:59:12.362Z,
,10.0,,metrics,0.0,,,,,1,,2025-12-08T00:00:12.368Z,0.0
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4c46p59,0,,,2025-12-08T00:00:12.369Z,
,,,kv_cache,,0.0,0.0,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4c46p59,,,,2025-12-08T00:00:12.370Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-08T00:00:12.371Z,
,10.0,,metrics,0.0,,,,,1,,2025-12-08T00:00:12.387Z,0.0
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4c46p59,0,,,2025-12-08T00:00:12.388Z,
,,,kv_cache,,0.0,0.0,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4c46p59,,,,2025-12-08T00:00:12.388Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-08T00:00:12.390Z,
,10.0,,metrics,0.0,,,,,1,,2025-12-08T00:01:12.390Z,0.0
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4c46p59,0,,,2025-12-08T00:01:12.391Z,
,,,kv_cache,,0.0,0.0,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4c46p59,,,,2025-12-08T00:01:12.391Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-08T00:01:12.393Z,
,10.0,,metrics,0.0,,,,,1,,2025-12-08T00:01:12.406Z,0.0
,,,kv_cache,,0.0,0.0,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4c46p59,,,,2025-12-08T00:01:12.407Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4c46p59,0,,,2025-12-08T00:01:12.407Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-08T00:01:12.409Z,
,10.0,,metrics,0.0,,,,,1,,2025-12-08T00:02:12.411Z,0.0
,,,kv_cache,,0.0,0.0,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4c46p59,,,,2025-12-08T00:02:12.412Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4c46p59,0,,,2025-12-08T00:02:12.412Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-08T00:02:12.414Z,
,10.0,,metrics,0.0,,,,,1,,2025-12-08T00:02:12.429Z,0.0
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4c46p59,0,,,2025-12-08T00:02:12.430Z,
,,,kv_cache,,0.0,0.0,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4c46p59,,,,2025-12-08T00:02:12.430Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-08T00:02:12.432Z,
,10.0,,metrics,0.0,,,,,1,,2025-12-08T00:03:12.433Z,0.0
,,,kv_cache,,0.0,0.0,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4c46p59,,,,2025-12-08T00:03:12.434Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4c46p59,0,,,2025-12-08T00:03:12.434Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-08T00:03:12.436Z,
,10.0,,metrics,0.0,,,,,1,,2025-12-08T00:03:12.447Z,0.0
,,,kv_cache,,0.0,0.0,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4c46p59,,,,2025-12-08T00:03:12.449Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4c46p59,0,,,2025-12-08T00:03:12.451Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-08T00:03:12.453Z,
,10.0,,metrics,10.78,,,,,1,,2025-12-08T00:04:12.454Z,21.02
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4c46p59,0,,,2025-12-08T00:04:12.455Z,
,,,kv_cache,,7.6,0.076,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4c46p59,,,,2025-12-08T00:04:12.455Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-08T00:04:12.457Z,
,10.0,,metrics,10.78,,,,,1,,2025-12-08T00:04:12.485Z,21.02
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4c46p59,0,,,2025-12-08T00:04:12.486Z,
,,,kv_cache,,7.6,0.076,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4c46p59,,,,2025-12-08T00:04:12.486Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-08T00:04:12.488Z,
,10.0,,metrics,10.72,,,,,1,,2025-12-08T00:05:12.489Z,21.61
,,,kv_cache,,6.8,0.068,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4c46p59,,,,2025-12-08T00:05:12.491Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4c46p59,0,,,2025-12-08T00:05:12.491Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-08T00:05:12.493Z,
,10.0,,metrics,10.72,,,,,1,,2025-12-08T00:05:12.505Z,21.61
,,,kv_cache,,6.8,0.068,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4c46p59,,,,2025-12-08T00:05:12.506Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4c46p59,0,,,2025-12-08T00:05:12.507Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-08T00:05:12.508Z,
,10.0,,metrics,10.82,,,,,1,,2025-12-08T00:06:12.509Z,21.28
