timestamp,kv_usage_mean,kv_usage_max,kv_usage_min,kv_pct_mean,kv_pct_max,kv_pct_min,time_relative
2025-12-09 19:12:28.701000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335e-05
2025-12-09 19:13:28.727000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0004666666666666
2025-12-09 19:14:28.759000+00:00,0.039,0.039,0.039,3.9,3.9,3.9,2.001
2025-12-09 19:15:28.784000+00:00,0.089,0.089,0.089,8.9,8.9,8.9,3.0014166666666666
2025-12-09 19:16:28.833000+00:00,0.391,0.391,0.391,39.1,39.1,39.1,4.002233333333333
2025-12-09 19:17:28.870000+00:00,0.562,0.562,0.562,56.2,56.2,56.2,5.00285
2025-12-09 19:18:28.902000+00:00,0.746,0.746,0.746,74.6,74.6,74.6,6.003383333333333
2025-12-09 19:19:28.931000+00:00,0.947,0.947,0.947,94.7,94.7,94.7,7.003866666666667
2025-12-09 19:20:28.960000+00:00,0.537,1.0,0.074,53.7,100.0,7.4,8.00435
2025-12-09 19:21:28.988000+00:00,0.26,0.442,0.078,26.0,44.2,7.8,9.004816666666667
2025-12-09 19:22:29.019000+00:00,0.065,0.077,0.053,6.5,7.7,5.3,10.005333333333335
2025-12-09 19:23:29.043000+00:00,0.0605,0.097,0.024,6.05,9.7,2.4,11.005733333333334
2025-12-09 19:24:29.074000+00:00,0.109,0.109,0.109,10.9,10.9,10.9,12.00625
2025-12-09 19:25:29.103000+00:00,0.107,0.107,0.107,10.7,10.7,10.7,13.006733333333333
2025-12-09 19:26:29.139000+00:00,0.103,0.103,0.103,10.3,10.3,10.3,14.007333333333333
2025-12-09 19:27:29.201000+00:00,0.103,0.103,0.103,10.3,10.3,10.3,15.008366666666666
2025-12-09 19:28:29.235000+00:00,0.1,0.1,0.1,10.0,10.0,10.0,16.00893333333333
2025-12-09 19:29:29.269000+00:00,0.095,0.095,0.095,9.5,9.5,9.5,17.0095
2025-12-09 19:30:29.299000+00:00,0.081,0.081,0.081,8.1,8.1,8.1,18.009999999999998
2025-12-09 19:33:29.403000+00:00,0.046,0.046,0.046,4.6,4.6,4.6,21.011733333333332
2025-12-09 19:34:29.451000+00:00,0.049,0.049,0.049,4.9,4.9,4.9,22.012533333333334
2025-12-09 19:35:29.479000+00:00,0.045,0.045,0.045,4.5,4.5,4.5,23.012999999999998
2025-12-09 19:36:29.544000+00:00,0.051,0.051,0.051,5.1,5.1,5.1,24.014083333333335
2025-12-09 19:37:29.577000+00:00,0.028,0.028,0.028,2.8,2.8,2.8,25.014633333333332
2025-12-09 19:38:29.605000+00:00,0.039,0.039,0.039,3.9,3.9,3.9,26.0151
2025-12-09 19:39:29.633000+00:00,0.057,0.057,0.057,5.7,5.7,5.7,27.015566666666665
2025-12-09 19:40:29.665000+00:00,0.041,0.041,0.041,4.1,4.1,4.1,28.016099999999998
2025-12-09 19:41:29.714000+00:00,0.062,0.062,0.062,6.2,6.2,6.2,29.016916666666667
2025-12-09 19:42:29.741000+00:00,0.039,0.039,0.039,3.9,3.9,3.9,30.017366666666664
2025-12-09 19:43:29.770000+00:00,0.044,0.044,0.044,4.4,4.4,4.4,31.01785
2025-12-09 19:44:29.806000+00:00,0.004,0.004,0.004,0.4,0.4,0.4,32.01845
2025-12-09 19:45:29.832000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,33.018883333333335
2025-12-09 19:46:29.888000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,34.01981666666667
