action,cost,current_replicas,event_type,itl,kv_cache_percent,kv_cache_usage,pod,queue_length,replicas,target_replicas,timestamp,ttft
,10.0,,metrics,0.0,,,,,1,,2025-12-09T20:58:35.044Z,0.0
,,,kv_cache,,0.0,0.0,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T20:58:35.045Z,
,,,kv_cache,,,,,,,,2025-12-09T20:58:35.045Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T20:58:35.045Z,
,,,queue,,,,,,,,2025-12-09T20:58:35.045Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-09T20:58:35.047Z,
,10.0,,metrics,0.0,,,,,1,,2025-12-09T20:59:35.070Z,0.0
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T20:59:35.071Z,
,,,queue,,,,,,,,2025-12-09T20:59:35.071Z,
,,,kv_cache,,0.0,0.0,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T20:59:35.072Z,
,,,kv_cache,,,,,,,,2025-12-09T20:59:35.072Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-09T20:59:35.073Z,
,10.0,,metrics,0.0,,,,,1,,2025-12-09T21:00:35.104Z,0.0
,,,kv_cache,,0.0,0.0,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T21:00:35.106Z,
,,,kv_cache,,,,,,,,2025-12-09T21:00:35.106Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T21:00:35.106Z,
,,,queue,,,,,,,,2025-12-09T21:00:35.106Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-09T21:00:35.108Z,
,10.0,,metrics,0.0,,,,,1,,2025-12-09T21:01:35.130Z,0.0
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T21:01:35.132Z,
,,,queue,,,,,,,,2025-12-09T21:01:35.132Z,
,,,kv_cache,,0.0,0.0,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T21:01:35.132Z,
,,,kv_cache,,,,,,,,2025-12-09T21:01:35.132Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-09T21:01:35.133Z,
,10.0,,metrics,0.0,,,,,1,,2025-12-09T21:02:35.161Z,0.0
,,,kv_cache,,0.0,0.0,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T21:02:35.163Z,
,,,kv_cache,,,,,,,,2025-12-09T21:02:35.163Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T21:02:35.163Z,
,,,queue,,,,,,,,2025-12-09T21:02:35.163Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-09T21:02:35.164Z,
,10.0,,metrics,0.0,,,,,1,,2025-12-09T21:03:35.187Z,0.0
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T21:03:35.190Z,
,,,queue,,,,,,,,2025-12-09T21:03:35.190Z,
,,,kv_cache,,0.0,0.0,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T21:03:35.190Z,
,,,kv_cache,,,,,,,,2025-12-09T21:03:35.190Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-09T21:03:35.192Z,
,10.0,,metrics,8.34,,,,,1,,2025-12-09T21:04:35.218Z,17.27
,,,kv_cache,,6.9,0.069,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T21:04:35.220Z,
,,,kv_cache,,,,,,,,2025-12-09T21:04:35.220Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T21:04:35.220Z,
,,,queue,,,,,,,,2025-12-09T21:04:35.220Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-09T21:04:35.222Z,
,10.0,,metrics,10.16,,,,,1,,2025-12-09T21:05:35.249Z,18.83
,,,kv_cache,,13.4,0.134,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T21:05:35.250Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T21:05:35.250Z,
,,,queue,,,,,,,,2025-12-09T21:05:35.250Z,
,,,kv_cache,,,,,,,,2025-12-09T21:05:35.250Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-09T21:05:35.252Z,
,10.0,,metrics,19.94,,,,,1,,2025-12-09T21:06:35.278Z,35.42
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T21:06:35.279Z,
,,,queue,,,,,,,,2025-12-09T21:06:35.279Z,
,,,kv_cache,,40.0,0.4,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T21:06:35.279Z,
,,,kv_cache,,,,,,,,2025-12-09T21:06:35.279Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-09T21:06:35.281Z,
,10.0,,metrics,30.7,,,,,1,,2025-12-09T21:07:35.308Z,51.0
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T21:07:35.310Z,
,,,queue,,,,,,,,2025-12-09T21:07:35.310Z,
,,,kv_cache,,50.4,0.504,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T21:07:35.310Z,
,,,kv_cache,,,,,,,,2025-12-09T21:07:35.310Z,
scale-up,,1,scaling_decision,,,,,,,2,2025-12-09T21:07:35.312Z,
,10.0,,metrics,41.8,,,,,1,,2025-12-09T21:08:35.339Z,68.74
,,,kv_cache,,72.4,0.724,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T21:08:35.340Z,
,,,kv_cache,,,,,,,,2025-12-09T21:08:35.340Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T21:08:35.340Z,
,,,queue,,,,,,,,2025-12-09T21:08:35.340Z,
no-change,,2,scaling_decision,,,,,,,2,2025-12-09T21:08:35.342Z,
,10.0,,metrics,53.92,,,,,1,,2025-12-09T21:09:35.576Z,86.45
,,,kv_cache,,94.8,0.948,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T21:09:35.578Z,
,,,kv_cache,,,,,,,,2025-12-09T21:09:35.578Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T21:09:35.578Z,
,,,queue,,,,,,,,2025-12-09T21:09:35.578Z,
no-change,,2,scaling_decision,,,,,,,2,2025-12-09T21:09:35.580Z,
,20.0,,metrics,43.82,,,,,2,,2025-12-09T21:10:35.622Z,122.13
,,,kv_cache,,98.9,0.989,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T21:10:35.623Z,
,,,kv_cache,,4.5,0.045,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dsqkm4,,,,2025-12-09T21:10:35.623Z,
,,,kv_cache,,,,,,,,2025-12-09T21:10:35.623Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,55,,,2025-12-09T21:10:35.624Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dsqkm4,0,,,2025-12-09T21:10:35.624Z,
