action,cost,current_replicas,event_type,itl,kv_cache_percent,kv_cache_usage,pod,queue_length,replicas,target_replicas,timestamp,ttft
,10.0,,metrics,0.0,,,,,1,,2025-12-07T21:49:36.527Z,0.0
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4cfsw9q,0,,,2025-12-07T21:49:36.528Z,
,,,kv_cache,,0.0,0.0,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4cfsw9q,,,,2025-12-07T21:49:36.528Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-07T21:49:36.530Z,
,10.0,,metrics,0.0,,,,,1,,2025-12-07T21:49:36.542Z,0.0
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4cfsw9q,0,,,2025-12-07T21:49:36.543Z,
,,,kv_cache,,0.0,0.0,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4cfsw9q,,,,2025-12-07T21:49:36.544Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-07T21:49:36.545Z,
,10.0,,metrics,0.0,,,,,1,,2025-12-07T21:50:36.549Z,0.0
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4cfsw9q,0,,,2025-12-07T21:50:36.551Z,
,,,kv_cache,,0.0,0.0,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4cfsw9q,,,,2025-12-07T21:50:36.551Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-07T21:50:36.552Z,
,10.0,,metrics,0.0,,,,,1,,2025-12-07T21:50:36.565Z,0.0
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4cfsw9q,0,,,2025-12-07T21:50:36.567Z,
,,,kv_cache,,0.0,0.0,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4cfsw9q,,,,2025-12-07T21:50:36.567Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-07T21:50:36.568Z,
,10.0,,metrics,0.0,,,,,1,,2025-12-07T21:51:36.573Z,0.0
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4cfsw9q,0,,,2025-12-07T21:51:36.575Z,
,,,kv_cache,,0.0,0.0,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4cfsw9q,,,,2025-12-07T21:51:36.575Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-07T21:51:36.576Z,
,10.0,,metrics,0.0,,,,,1,,2025-12-07T21:51:36.590Z,0.0
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4cfsw9q,0,,,2025-12-07T21:51:36.591Z,
,,,kv_cache,,0.0,0.0,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4cfsw9q,,,,2025-12-07T21:51:36.592Z,
no-change,,1,scaling_decision,,,,,,,1,2025-12-07T21:51:36.593Z,
,10.0,,metrics,0.0,,,,,1,,2025-12-07T21:52:36.598Z,0.0
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4cfsw9q,0,,,2025-12-07T21:52:36.599Z,
