action,current_replicas,event_type,observed_itl,observed_replicas,observed_ttft,predicted_itl,predicted_replicas,predicted_ttft,target_replicas,timestamp
,,observed_metrics,0.0,1,0.0,,,,,2025-12-09T15:52:59.650Z
,,prediction,,,,7.9243727,1,12.892912,,2025-12-09T15:52:59.650Z
no-change,1,scaling_decision,,,,,,,1,2025-12-09T15:52:59.650Z
,,observed_metrics,0.0,1,0.0,,,,,2025-12-09T15:53:59.681Z
,,prediction,,,,7.9243727,1,12.892912,,2025-12-09T15:53:59.681Z
no-change,1,scaling_decision,,,,,,,1,2025-12-09T15:53:59.681Z
,,observed_metrics,0.0,1,0.0,,,,,2025-12-09T15:54:59.711Z
,,prediction,,,,7.9243727,1,12.892912,,2025-12-09T15:54:59.711Z
no-change,1,scaling_decision,,,,,,,1,2025-12-09T15:54:59.711Z
,,observed_metrics,0.0,1,0.0,,,,,2025-12-09T15:55:59.747Z
,,prediction,,,,7.9243727,1,12.892912,,2025-12-09T15:55:59.748Z
no-change,1,scaling_decision,,,,,,,1,2025-12-09T15:55:59.748Z
,,observed_metrics,0.0,1,0.0,,,,,2025-12-09T15:56:59.777Z
,,prediction,,,,7.9243727,1,12.892912,,2025-12-09T15:56:59.778Z
no-change,1,scaling_decision,,,,,,,1,2025-12-09T15:56:59.778Z
,,observed_metrics,0.0,1,0.0,,,,,2025-12-09T15:57:59.804Z
,,prediction,,,,7.9243727,1,12.892912,,2025-12-09T15:57:59.804Z
no-change,1,scaling_decision,,,,,,,1,2025-12-09T15:57:59.804Z
,,observed_metrics,10.1,1,20.17,,,,,2025-12-09T15:58:59.833Z
,,prediction,,,,8.031419,1,13.866928,,2025-12-09T15:58:59.843Z
no-change,1,scaling_decision,,,,,,,1,2025-12-09T15:58:59.843Z
,,observed_metrics,14.74,1,28.82,,,,,2025-12-09T15:59:59.944Z
,,prediction,,,,9.394078,3,18.64483,,2025-12-09T15:59:59.948Z
scale-up,1,scaling_decision,,,,,,,3,2025-12-09T15:59:59.948Z
,,observed_metrics,16.04,1,31.52,,,,,2025-12-09T16:00:59.985Z
,,prediction,,,,9.854601,3,18.520864,,2025-12-09T16:00:59.995Z
scale-up,1,scaling_decision,,,,,,,3,2025-12-09T16:00:59.996Z
,,observed_metrics,67.44,1,748.66,,,,,2025-12-09T16:02:00.021Z
,,prediction,,,,9.4706,3,17.262796,,2025-12-09T16:02:00.032Z
