timestamp,current_replicas,target_replicas,action,time_minutes
2025-12-09 15:52:59.650000+00:00,1,1,no-change,0.0
2025-12-09 15:53:59.681000+00:00,1,1,no-change,1.0005166666666667
2025-12-09 15:54:59.711000+00:00,1,1,no-change,2.0010166666666667
2025-12-09 15:55:59.748000+00:00,1,1,no-change,3.0016333333333334
2025-12-09 15:56:59.778000+00:00,1,1,no-change,4.002133333333333
2025-12-09 15:57:59.804000+00:00,1,1,no-change,5.002566666666667
2025-12-09 15:58:59.843000+00:00,1,1,no-change,6.003216666666666
2025-12-09 15:59:59.948000+00:00,1,3,scale-up,7.004966666666666
2025-12-09 16:00:59.996000+00:00,1,3,scale-up,8.005766666666666
2025-12-09 16:02:00.032000+00:00,1,3,scale-up,9.006366666666667
2025-12-09 16:03:00.076000+00:00,3,3,no-change,10.007100000000001
2025-12-09 16:04:00.128000+00:00,3,8,scale-up,11.007966666666666
2025-12-09 16:06:00.223000+00:00,3,10,scale-up,13.009549999999999
2025-12-09 16:07:00.267000+00:00,3,10,scale-up,14.010283333333332
2025-12-09 16:08:00.313000+00:00,8,10,scale-up,15.011050000000001
2025-12-09 16:09:00.379000+00:00,10,7,scale-down,16.012150000000002
2025-12-09 16:10:00.422000+00:00,7,5,scale-down,17.012866666666667
2025-12-09 16:11:00.466000+00:00,5,6,scale-up,18.0136
2025-12-09 16:12:00.504000+00:00,5,6,scale-up,19.014233333333333
2025-12-09 16:13:00.544000+00:00,5,6,scale-up,20.0149
2025-12-09 16:14:00.584000+00:00,6,4,scale-down,21.015566666666665
2025-12-09 16:15:00.630000+00:00,4,4,no-change,22.016333333333332
2025-12-09 16:16:00.670000+00:00,4,2,scale-down,23.017
2025-12-09 16:17:00.704000+00:00,2,1,scale-down,24.017566666666667
2025-12-09 16:18:00.764000+00:00,1,1,no-change,25.01856666666667
