timestamp,observed_replicas,observed_ttft,observed_itl
2025-12-10 04:58:56.144000+00:00,1,0.0,0.0
2025-12-10 04:59:56.180000+00:00,1,0.0,0.0
2025-12-10 05:00:56.208000+00:00,1,0.0,0.0
2025-12-10 05:01:56.240000+00:00,1,0.0,0.0
2025-12-10 05:02:56.269000+00:00,1,0.0,0.0
2025-12-10 05:03:56.298000+00:00,1,28.16,14.2
2025-12-10 05:04:56.345000+00:00,1,30.5,15.62
2025-12-10 05:05:56.387000+00:00,1,57.31,30.29
2025-12-10 05:06:56.425000+00:00,2,7724.16,58.46
2025-12-10 05:07:56.488000+00:00,2,65.67,39.86
2025-12-10 05:08:56.525000+00:00,2,85.14,52.0
2025-12-10 05:09:56.569000+00:00,3,90.9,56.48
2025-12-10 05:10:56.663000+00:00,3,64.11,38.95
2025-12-10 05:11:56.710000+00:00,4,40.99,24.37
2025-12-10 05:12:56.755000+00:00,5,33.25,17.76
2025-12-10 05:13:56.813000+00:00,7,21.06,10.37
2025-12-10 05:14:56.867000+00:00,6,18.89,9.22
2025-12-10 05:15:56.920000+00:00,5,19.73,9.65
2025-12-10 05:16:56.962000+00:00,5,20.73,10.26
2025-12-10 05:17:57.005000+00:00,5,20.55,10.23
2025-12-10 05:18:57.043000+00:00,5,18.78,9.13
2025-12-10 05:19:57.082000+00:00,4,19.52,9.63
2025-12-10 05:20:57.122000+00:00,4,19.09,9.12
2025-12-10 05:21:57.170000+00:00,3,16.31,7.74
2025-12-10 05:22:57.205000+00:00,2,17.88,8.3
2025-12-10 05:23:57.246000+00:00,1,0.0,0.0
