prediction_time,observation_time,time_delta_seconds,predicted_itl,observed_itl,pred_error_itl,predicted_ttft,observed_ttft,pred_error_ttft,predicted_replicas,observed_replicas,time_minutes,slo_itl_violated,slo_ttft_violated,any_slo_violated
2025-12-10 16:53:03.794000+00:00,2025-12-10 16:54:03.823000+00:00,60.029,7.2213893,0.0,-7.2213893,15.9937,0.0,-15.9937,1,1,1.0004833333333334,False,False,False
2025-12-10 16:54:03.823000+00:00,2025-12-10 16:55:03.851000+00:00,60.028,7.2213893,11.59,4.3686107,15.9937,22.53,6.536300000000001,1,1,2.00095,True,False,True
2025-12-10 16:55:03.860000+00:00,2025-12-10 16:56:03.886000+00:00,60.026,7.580768,14.42,6.839232,16.661495,28.38,11.718505,1,1,3.0015333333333336,True,False,True
2025-12-10 16:56:03.896000+00:00,2025-12-10 16:57:03.928000+00:00,60.032,9.640444,15.4,5.759556,18.85651,30.03,11.173490000000001,2,1,4.002233333333333,True,False,True
2025-12-10 16:57:03.937000+00:00,2025-12-10 16:58:03.966000+00:00,60.029,9.851749,61.21,51.358251,18.955463,99.96,81.004537,2,1,5.002866666666667,True,False,True
2025-12-10 16:58:03.975000+00:00,2025-12-10 16:59:04.005000+00:00,60.03,8.880024,70.52,61.639976,18.072582,2342.98,2324.9074180000002,2,2,6.003516666666667,True,True,True
2025-12-10 16:59:04.013000+00:00,2025-12-10 17:00:04.056000+00:00,60.043,9.8801,43.64,33.7599,19.304058,834.58,815.275942,2,2,7.004366666666667,True,False,True
2025-12-10 17:00:04.065000+00:00,2025-12-10 17:01:04.103000+00:00,60.038,9.406037,57.24,47.833963000000004,18.516973,144.18,125.663027,5,2,8.00515,True,False,True
2025-12-10 17:01:04.112000+00:00,2025-12-10 17:02:04.201000+00:00,60.089,9.952057,62.63,52.677943,19.392065,367.2,347.807935,4,2,9.006783333333335,True,False,True
2025-12-10 17:02:04.209000+00:00,2025-12-10 17:03:04.244000+00:00,60.035,9.5519905,65.01,55.4580095,18.646982,379.77,361.123018,5,4,10.0075,True,False,True
2025-12-10 17:03:04.254000+00:00,2025-12-10 17:04:04.282000+00:00,60.028,9.789638,31.08,21.290362,19.091068,59.13,40.038932,4,4,11.008133333333335,True,False,True
2025-12-10 17:04:04.293000+00:00,2025-12-10 17:05:04.334000+00:00,60.041,9.703978,20.38,10.676022,18.692719,38.09,19.397281000000003,10,4,12.008999999999999,True,False,True
2025-12-10 17:05:04.344000+00:00,2025-12-10 17:06:04.377000+00:00,60.033,9.872117,20.23,10.357883000000001,18.7548,38.46,19.7052,10,4,13.009716666666666,True,False,True
2025-12-10 17:06:04.387000+00:00,2025-12-10 17:07:04.421000+00:00,60.034,9.808866,14.22,4.4111340000000006,18.442186,27.48,9.037814000000001,11,4,14.010449999999999,True,False,True
2025-12-10 17:07:04.431000+00:00,2025-12-10 17:08:04.465000+00:00,60.034,9.98988,11.44,1.45012,18.392195,22.76,4.367805000000001,10,10,15.011183333333333,True,False,True
2025-12-10 17:08:04.477000+00:00,2025-12-10 17:09:04.523000+00:00,60.046,9.98187,8.32,-1.6618700000000004,16.738209,17.36,0.6217909999999982,28,10,16.012150000000002,False,False,False
2025-12-10 17:09:04.534000+00:00,2025-12-10 17:10:04.575000+00:00,60.041,9.991692,8.27,-1.7216920000000009,16.764963,16.96,0.19503699999999924,27,10,17.013016666666665,False,False,False
2025-12-10 17:10:04.586000+00:00,2025-12-10 17:11:04.894000+00:00,60.308,9.977883,7.92,-2.0578830000000004,16.730658,16.8,0.06934200000000246,27,10,18.01833333333333,False,False,False
2025-12-10 17:11:04.905000+00:00,2025-12-10 17:12:04.946000+00:00,60.041,9.973267,7.84,-2.133267,16.762218,16.2,-0.5622180000000014,20,10,19.0192,False,False,False
2025-12-10 17:12:04.955000+00:00,2025-12-10 17:13:04.992000+00:00,60.037,9.992826,7.18,-2.812826000000001,16.750486,15.08,-1.6704859999999986,18,10,20.01996666666667,False,False,False
2025-12-10 17:13:05.002000+00:00,2025-12-10 17:14:05.034000+00:00,60.032,9.951008,7.3,-2.651008,16.712475,15.71,-1.0024750000000004,7,7,21.020666666666667,False,False,False
2025-12-10 17:14:05.043000+00:00,2025-12-10 17:15:05.078000+00:00,60.035,9.99576,7.38,-2.6157600000000008,16.798151,16.17,-0.628150999999999,6,6,22.021400000000003,False,False,False
2025-12-10 17:15:05.088000+00:00,2025-12-10 17:16:05.172000+00:00,60.084,9.928832,0.0,-9.928832,16.72707,0.0,-16.72707,7,6,23.022966666666665,False,False,False
2025-12-10 17:16:05.172000+00:00,2025-12-10 17:17:05.214000+00:00,60.042,9.406144,0.0,-9.406144,16.03132,0.0,-16.03132,1,1,24.023666666666667,False,False,False
