timestamp,observed_replicas,observed_ttft,observed_itl
2025-12-03 19:40:13.529000+00:00,1,0.0,0.0
2025-12-03 19:41:13.561000+00:00,1,0.0,0.0
2025-12-03 19:42:13.585000+00:00,1,0.0,0.0
2025-12-03 19:43:13.613000+00:00,1,0.0,0.0
2025-12-03 19:44:13.637000+00:00,1,0.0,0.0
2025-12-03 19:45:13.656000+00:00,1,0.0,0.0
2025-12-03 19:46:13.680000+00:00,1,20.21,8.99
2025-12-03 19:47:13.710000+00:00,1,21.77,11.01
2025-12-03 19:48:13.747000+00:00,2,24.77,12.59
2025-12-03 19:49:13.992000+00:00,2,53.32,31.77
2025-12-03 19:50:14.031000+00:00,4,36.41,22.07
2025-12-03 19:51:14.063000+00:00,7,22.69,12.29
2025-12-03 19:52:14.100000+00:00,4,20.28,10.35
2025-12-03 19:53:14.133000+00:00,5,18.7,9.54
2025-12-03 19:54:14.163000+00:00,4,18.35,9.52
2025-12-03 19:55:14.196000+00:00,3,18.53,9.19
2025-12-03 19:56:14.241000+00:00,1,0.0,0.0
