timestamp,current_replicas,target_replicas,action,time_minutes
2025-12-03 21:21:48.264000+00:00,2,1,scale-down,0.0
2025-12-03 21:23:48.399000+00:00,1,1,no-change,2.00225
2025-12-03 21:24:48.422000+00:00,1,1,no-change,3.0026333333333333
2025-12-03 21:25:48.445000+00:00,1,1,no-change,4.0030166666666664
2025-12-03 21:27:48.506000+00:00,1,5,scale-up,6.004033333333334
2025-12-03 21:29:48.565000+00:00,5,11,scale-up,8.005016666666666
2025-12-03 21:30:48.603000+00:00,10,3,scale-down,9.005650000000001
2025-12-03 21:31:48.638000+00:00,3,13,scale-up,10.006233333333334
2025-12-03 21:33:48.697000+00:00,10,3,scale-down,12.007216666666666
2025-12-03 21:34:48.750000+00:00,3,4,scale-up,13.0081
2025-12-03 21:35:48.794000+00:00,4,2,scale-down,14.008833333333333
2025-12-03 21:36:48.819000+00:00,2,1,scale-down,15.00925
2025-12-03 21:37:48.844000+00:00,1,1,no-change,16.009666666666668
