action,current_replicas,event_type,observed_itl,observed_replicas,observed_ttft,predicted_itl,predicted_replicas,predicted_ttft,slo_itl,slo_ttft,target_replicas,timestamp
,,slo,,,,,,,10,1000,,2025-12-04T00:16:26.491Z
,,slo,,,,,,,10,1000,,2025-12-04T00:17:26.496Z
,,slo,,,,,,,10,1000,,2025-12-04T00:18:26.514Z
,,slo,,,,,,,10,1000,,2025-12-04T00:19:26.522Z
,,slo,,,,,,,10,1000,,2025-12-04T00:20:26.633Z
,,observed_metrics,0.0,2,0.0,,,,,,,2025-12-04T00:20:26.643Z
,,prediction,,,,7.514,1,15.415337,,,,2025-12-04T00:20:26.643Z
scale-down,2,scaling_decision,,,,,,,,,1,2025-12-04T00:20:26.643Z
,,slo,,,,,,,10,1000,,2025-12-04T00:21:26.657Z
,,observed_metrics,0.0,1,0.0,,,,,,,2025-12-04T00:21:26.666Z
,,prediction,,,,7.514,1,15.415337,,,,2025-12-04T00:21:26.666Z
no-change,1,scaling_decision,,,,,,,,,1,2025-12-04T00:21:26.666Z
,,slo,,,,,,,10,1000,,2025-12-04T00:22:26.682Z
,,observed_metrics,10.65,1,23.11,,,,,,,2025-12-04T00:22:26.692Z
,,prediction,,,,9.923538,3,21.630617,,,,2025-12-04T00:22:26.702Z
scale-up,1,scaling_decision,,,,,,,,,3,2025-12-04T00:22:26.702Z
,,slo,,,,,,,10,1000,,2025-12-04T00:23:26.714Z
,,observed_metrics,10.66,3,21.64,,,,,,,2025-12-04T00:23:26.726Z
,,prediction,,,,9.985911,11,21.221285,,,,2025-12-04T00:23:26.736Z
scale-up,3,scaling_decision,,,,,,,,,11,2025-12-04T00:23:26.736Z
,,slo,,,,,,,10,1000,,2025-12-04T00:24:26.754Z
,,observed_metrics,15.45,10,28.02,,,,,,,2025-12-04T00:24:26.765Z
,,prediction,,,,9.983113,13,21.398937,,,,2025-12-04T00:24:26.775Z
scale-up,10,scaling_decision,,,,,,,,,13,2025-12-04T00:24:26.775Z
,,slo,,,,,,,10,1000,,2025-12-04T00:25:26.799Z
,,observed_metrics,12.0,10,23.11,,,,,,,2025-12-04T00:25:26.811Z
,,slo,,,,,,,10,1000,,2025-12-04T00:26:26.845Z
,,observed_metrics,9.13,10,16.09,,,,,,,2025-12-04T00:26:26.856Z
,,prediction,,,,9.871149,4,22.378307,,,,2025-12-04T00:26:26.866Z
scale-down,10,scaling_decision,,,,,,,,,4,2025-12-04T00:26:26.866Z
,,slo,,,,,,,10,1000,,2025-12-04T00:27:26.879Z
,,observed_metrics,9.58,4,17.76,,,,,,,2025-12-04T00:27:26.891Z
,,prediction,,,,9.644271,4,22.672262,,,,2025-12-04T00:27:26.900Z
no-change,4,scaling_decision,,,,,,,,,4,2025-12-04T00:27:26.900Z
,,slo,,,,,,,10,1000,,2025-12-04T00:28:26.923Z
,,observed_metrics,9.94,4,19.21,,,,,,,2025-12-04T00:28:26.934Z
,,prediction,,,,9.631284,5,23.373459,,,,2025-12-04T00:28:26.944Z
scale-up,4,scaling_decision,,,,,,,,,5,2025-12-04T00:28:26.944Z
,,slo,,,,,,,10,1000,,2025-12-04T00:29:26.955Z
,,observed_metrics,9.49,5,17.82,,,,,,,2025-12-04T00:29:26.966Z
,,prediction,,,,9.783529,4,23.320753,,,,2025-12-04T00:29:26.975Z
scale-down,5,scaling_decision,,,,,,,,,4,2025-12-04T00:29:26.975Z
,,slo,,,,,,,10,1000,,2025-12-04T00:30:26.988Z
,,observed_metrics,9.25,4,18.07,,,,,,,2025-12-04T00:30:27.010Z
,,prediction,,,,9.527791,3,22.71129,,,,2025-12-04T00:30:27.014Z
scale-down,4,scaling_decision,,,,,,,,,3,2025-12-04T00:30:27.014Z
,,slo,,,,,,,10,1000,,2025-12-04T00:31:27.028Z
,,observed_metrics,0.0,3,0.0,,,,,,,2025-12-04T00:31:27.049Z
,,prediction,,,,8.43233,1,20.559975,,,,2025-12-04T00:31:27.049Z
scale-down,3,scaling_decision,,,,,,,,,1,2025-12-04T00:31:27.049Z
