action,current_replicas,event_type,observed_itl,observed_replicas,observed_ttft,predicted_itl,predicted_replicas,predicted_ttft,slo_itl,slo_ttft,target_replicas,timestamp
,,slo,,,,,,,10,1000,,2025-12-05T23:16:18.414Z
,,slo,,,,,,,10,1000,,2025-12-05T23:17:18.420Z
,,slo,,,,,,,10,1000,,2025-12-05T23:17:18.432Z
,,slo,,,,,,,10,1000,,2025-12-05T23:18:18.439Z
,,slo,,,,,,,10,1000,,2025-12-05T23:18:18.445Z
,,slo,,,,,,,10,1000,,2025-12-05T23:19:18.651Z
,,observed_metrics,0.0,2,0.0,,,,,,,2025-12-05T23:19:18.662Z
,,prediction,,,,7.514,1,15.415337,,,,2025-12-05T23:19:18.662Z
scale-down,2,scaling_decision,,,,,,,,,1,2025-12-05T23:19:18.662Z
,,slo,,,,,,,10,1000,,2025-12-05T23:19:18.672Z
,,observed_metrics,0.0,2,0.0,,,,,,,2025-12-05T23:19:18.679Z
,,prediction,,,,7.514,1,15.415337,,,,2025-12-05T23:19:18.680Z
scale-down,2,scaling_decision,,,,,,,,,1,2025-12-05T23:19:18.680Z
,,slo,,,,,,,10,1000,,2025-12-05T23:20:18.679Z
,,observed_metrics,0.0,1,0.0,,,,,,,2025-12-05T23:20:18.688Z
,,prediction,,,,7.514,1,15.415337,,,,2025-12-05T23:20:18.688Z
no-change,1,scaling_decision,,,,,,,,,1,2025-12-05T23:20:18.688Z
,,slo,,,,,,,10,1000,,2025-12-05T23:20:18.698Z
,,observed_metrics,0.0,1,0.0,,,,,,,2025-12-05T23:20:18.705Z
,,prediction,,,,7.514,1,15.415337,,,,2025-12-05T23:20:18.705Z
no-change,1,scaling_decision,,,,,,,,,1,2025-12-05T23:20:18.705Z
,,slo,,,,,,,10,1000,,2025-12-05T23:21:18.771Z
,,observed_metrics,9.42,1,19.59,,,,,,,2025-12-05T23:21:18.809Z
,,prediction,,,,9.425436,1,19.671307,,,,2025-12-05T23:21:18.812Z
no-change,1,scaling_decision,,,,,,,,,1,2025-12-05T23:21:18.812Z
,,slo,,,,,,,10,1000,,2025-12-05T23:21:18.846Z
,,observed_metrics,9.42,1,19.59,,,,,,,2025-12-05T23:21:18.865Z
,,prediction,,,,9.421286,1,19.675148,,,,2025-12-05T23:21:18.874Z
no-change,1,scaling_decision,,,,,,,,,1,2025-12-05T23:21:18.874Z
,,slo,,,,,,,10,1000,,2025-12-05T23:22:18.829Z
,,observed_metrics,9.13,1,18.96,,,,,,,2025-12-05T23:22:18.837Z
,,prediction,,,,9.33699,1,20.87093,,,,2025-12-05T23:22:18.847Z
no-change,1,scaling_decision,,,,,,,,,1,2025-12-05T23:22:18.847Z
,,slo,,,,,,,10,1000,,2025-12-05T23:22:18.885Z
,,observed_metrics,9.13,1,18.96,,,,,,,2025-12-05T23:22:18.896Z
,,prediction,,,,9.1692505,1,20.802977,,,,2025-12-05T23:22:18.901Z
no-change,1,scaling_decision,,,,,,,,,1,2025-12-05T23:22:18.901Z
,,slo,,,,,,,10,1000,,2025-12-05T23:23:18.865Z
,,observed_metrics,9.37,1,19.38,,,,,,,2025-12-05T23:23:18.874Z
,,prediction,,,,9.33071,1,20.871046,,,,2025-12-05T23:23:18.882Z
no-change,1,scaling_decision,,,,,,,,,1,2025-12-05T23:23:18.882Z
,,slo,,,,,,,10,1000,,2025-12-05T23:23:18.911Z
,,observed_metrics,9.37,1,19.38,,,,,,,2025-12-05T23:23:18.920Z
,,prediction,,,,9.362538,1,20.869673,,,,2025-12-05T23:23:18.928Z
no-change,1,scaling_decision,,,,,,,,,1,2025-12-05T23:23:18.928Z
,,slo,,,,,,,10,1000,,2025-12-05T23:24:18.899Z
,,observed_metrics,13.58,1,27.2,,,,,,,2025-12-05T23:24:18.908Z
,,prediction,,,,9.992866,1,22.6479,,,,2025-12-05T23:24:18.918Z
no-change,1,scaling_decision,,,,,,,,,1,2025-12-05T23:24:18.918Z
,,slo,,,,,,,10,1000,,2025-12-05T23:24:18.937Z
,,observed_metrics,13.58,1,27.2,,,,,,,2025-12-05T23:24:18.951Z
,,prediction,,,,9.992866,1,22.6479,,,,2025-12-05T23:24:18.960Z
no-change,1,scaling_decision,,,,,,,,,1,2025-12-05T23:24:18.960Z
,,slo,,,,,,,10,1000,,2025-12-05T23:25:18.932Z
,,observed_metrics,16.75,1,31.9,,,,,,,2025-12-05T23:25:18.942Z
,,prediction,,,,9.7076,2,21.305277,,,,2025-12-05T23:25:18.952Z
scale-up,1,scaling_decision,,,,,,,,,2,2025-12-05T23:25:18.952Z
,,slo,,,,,,,10,1000,,2025-12-05T23:25:18.970Z
,,observed_metrics,16.75,1,31.9,,,,,,,2025-12-05T23:25:18.978Z
,,prediction,,,,9.7076,2,21.305277,,,,2025-12-05T23:25:18.986Z
scale-up,1,scaling_decision,,,,,,,,,2,2025-12-05T23:25:18.986Z
,,slo,,,,,,,10,1000,,2025-12-05T23:26:18.971Z
,,observed_metrics,17.56,2,33.4,,,,,,,2025-12-05T23:26:18.980Z
,,prediction,,,,9.739511,2,21.380594,,,,2025-12-05T23:26:18.997Z
no-change,2,scaling_decision,,,,,,,,,2,2025-12-05T23:26:18.998Z
,,slo,,,,,,,10,1000,,2025-12-05T23:26:19.019Z
