timestamp,pod,kv_cache_usage,kv_cache_pct
2025-12-08 23:38:02.917000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4cs2crg,0.0,0.0
2025-12-08 23:39:02.945000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4cs2crg,0.0,0.0
2025-12-08 23:40:02.969000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4cs2crg,0.027,2.7
2025-12-08 23:41:03.004000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4cs2crg,0.037,3.7
2025-12-08 23:42:03.038000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4cs2crg,0.022,2.2
2025-12-08 23:43:03.078000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4cs2crg,0.11,11.0
2025-12-08 23:44:03.121000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4cs2crg,0.155,15.5
2025-12-08 23:45:03.167000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4cs2crg,0.077,7.7
2025-12-08 23:45:03.167000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4cmmmfl,0.011,1.1
2025-12-08 23:46:03.211000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4cs2crg,0.03,3.0
2025-12-08 23:46:03.211000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4cmmmfl,0.046,4.6
2025-12-08 23:47:03.244000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4cs2crg,0.196,19.6
2025-12-08 23:47:03.244000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4cmmmfl,0.071,7.1
2025-12-08 23:48:03.284000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4cs2crg,0.144,14.4
2025-12-08 23:48:03.284000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4cmmmfl,0.066,6.6
2025-12-08 23:49:03.359000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4csrbzl,0.002,0.2
2025-12-08 23:49:03.359000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4cs2crg,0.056,5.6
2025-12-08 23:49:03.359000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4cmmmfl,0.094,9.4
2025-12-08 23:50:03.399000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4csrbzl,0.013,1.3
2025-12-08 23:50:03.399000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4cc5dqt,0.025,2.5
2025-12-08 23:50:03.399000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4cs2crg,0.071,7.1
2025-12-08 23:50:03.399000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4cmmmfl,0.109,10.9
2025-12-08 23:51:03.439000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4csrbzl,0.018,1.8
2025-12-08 23:51:03.439000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4cc5dqt,0.028,2.8
2025-12-08 23:51:03.439000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4cs2crg,0.049,4.9
2025-12-08 23:51:03.439000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4cmmmfl,0.06,6.0
2025-12-08 23:52:03.478000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4cbslj9,0.031,3.1
2025-12-08 23:52:03.478000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4csrbzl,0.038,3.8
