prediction_time,observation_time,time_delta_seconds,predicted_itl,observed_itl,pred_error_itl,predicted_ttft,observed_ttft,pred_error_ttft,predicted_replicas,observed_replicas,time_minutes,slo_itl_violated,slo_ttft_violated,any_slo_violated
2025-12-09 13:23:54.008000+00:00,2025-12-09 13:24:54.040000+00:00,60.032,7.045932,0.0,-7.045932,15.997414,0.0,-15.997414,1,1,0.0,False,False,False
2025-12-09 13:24:54.040000+00:00,2025-12-09 13:25:54.072000+00:00,60.032,7.045932,7.89,0.844068,15.997414,12.99,-3.007413999999999,1,1,1.0005333333333333,False,False,False
2025-12-09 13:25:54.083000+00:00,2025-12-09 13:26:54.110000+00:00,60.027,8.123125,7.81,-0.3131250000000003,19.784956,14.02,-5.7649560000000015,1,1,2.0011666666666668,False,False,False
2025-12-09 13:26:54.115000+00:00,2025-12-09 13:27:54.147000+00:00,60.032,7.8987904,7.92,0.021209599999999718,19.698797,16.02,-3.6787969999999994,1,1,3.0017833333333335,False,False,False
2025-12-09 13:27:54.157000+00:00,2025-12-09 13:28:54.189000+00:00,60.032,7.9164147,12.27,4.3535853,19.348167,24.61,5.261832999999999,1,1,4.002483333333333,True,False,True
2025-12-09 13:28:54.199000+00:00,2025-12-09 13:29:54.226000+00:00,60.027,8.419712,12.72,4.300288,21.747856,24.88,3.1321440000000003,2,1,5.0031,True,False,True
2025-12-09 13:29:54.237000+00:00,2025-12-09 13:30:54.267000+00:00,60.03,9.482349,12.54,3.057651,23.849403,22.95,-0.8994029999999995,2,1,6.003783333333333,True,False,True
2025-12-09 13:30:54.278000+00:00,2025-12-09 13:31:54.310000+00:00,60.032,9.787521,11.65,1.8624790000000004,23.88816,22.32,-1.5681599999999989,2,2,7.004499999999999,True,False,True
2025-12-09 13:31:54.321000+00:00,2025-12-09 13:32:54.367000+00:00,60.046,8.963598,10.91,1.9464020000000009,22.790113,21.76,-1.030113,3,2,8.00545,True,False,True
2025-12-09 13:32:54.378000+00:00,2025-12-09 13:33:54.404000+00:00,60.026,8.5431385,10.55,2.006861500000001,23.000961,21.17,-1.8309609999999985,3,2,9.006066666666667,True,False,True
2025-12-09 13:33:54.416000+00:00,2025-12-09 13:34:54.451000+00:00,60.035,8.205508,12.81,4.6044920000000005,22.462677,25.08,2.617322999999999,3,3,10.006849999999998,True,False,True
2025-12-09 13:34:54.473000+00:00,2025-12-09 13:35:54.499000+00:00,60.026,9.377692,9.76,0.3823080000000001,25.536346,19.77,-5.766346000000002,3,3,11.00765,False,False,False
2025-12-09 13:35:54.509000+00:00,2025-12-09 13:36:54.552000+00:00,60.043,9.60056,9.61,0.009439999999999671,24.52417,19.62,-4.904170000000001,3,3,12.008533333333332,False,False,False
2025-12-09 13:36:54.562000+00:00,2025-12-09 13:37:54.599000+00:00,60.037,9.57763,9.38,-0.19762999999999842,24.469181,19.68,-4.789180999999999,3,3,13.009316666666667,False,False,False
2025-12-09 13:37:54.609000+00:00,2025-12-09 13:38:54.659000+00:00,60.05,9.36025,8.41,-0.9502500000000005,23.902914,17.1,-6.802913999999998,3,3,14.010316666666666,False,False,False
2025-12-09 13:38:54.669000+00:00,2025-12-09 13:39:54.695000+00:00,60.026,9.661811,9.08,-0.5818110000000001,23.342949,18.53,-4.812949,2,2,15.010916666666667,False,False,False
2025-12-09 13:39:54.705000+00:00,2025-12-09 13:40:54.738000+00:00,60.033,9.131639,9.41,0.2783610000000003,22.716518,19.03,-3.6865179999999995,2,2,16.011633333333332,False,False,False
2025-12-09 13:40:54.748000+00:00,2025-12-09 13:41:54.777000+00:00,60.029,9.469186,7.88,-1.5891860000000007,23.957258,16.86,-7.097258,2,2,17.012283333333333,False,False,False
2025-12-09 13:41:54.787000+00:00,2025-12-09 13:42:54.838000+00:00,60.051,9.373059,9.01,-0.3630589999999998,23.993168,18.5,-5.493168000000001,1,1,18.0133,False,False,False
2025-12-09 13:42:54.848000+00:00,2025-12-09 13:43:54.876000+00:00,60.028,8.993579,9.38,0.38642100000000035,22.202318,18.79,-3.4123180000000026,1,1,19.013933333333334,False,False,False
2025-12-09 13:43:54.885000+00:00,2025-12-09 13:44:54.913000+00:00,60.028,9.418545,0.0,-9.418545,23.330025,0.0,-23.330025,1,1,20.01455,False,False,False
