timestamp,observed_replicas,observed_ttft,observed_itl
2025-12-10 12:06:10.804000+00:00,1,0.0,0.0
2025-12-10 12:07:10.829000+00:00,1,0.0,0.0
2025-12-10 12:08:10.863000+00:00,1,0.0,0.0
2025-12-10 12:09:10.890000+00:00,1,0.0,0.0
2025-12-10 12:10:11.074000+00:00,1,0.0,0.0
2025-12-10 12:11:11.100000+00:00,1,23.76,6.59
2025-12-10 12:12:11.133000+00:00,1,16.4,7.92
2025-12-10 12:13:11.168000+00:00,1,15.97,7.69
2025-12-10 12:14:11.207000+00:00,1,16.23,7.68
2025-12-10 12:15:11.250000+00:00,1,24.26,12.15
2025-12-10 12:16:11.291000+00:00,1,23.66,12.21
2025-12-10 12:17:11.330000+00:00,1,22.72,12.18
2025-12-10 12:18:11.371000+00:00,1,38.14,21.37
2025-12-10 12:19:11.407000+00:00,1,54.61,32.74
2025-12-10 12:20:11.465000+00:00,1,63.67,38.03
2025-12-10 12:21:11.504000+00:00,1,77.57,47.02
2025-12-10 12:22:11.549000+00:00,2,3197.81,55.29
2025-12-10 12:23:11.599000+00:00,2,29.53,17.34
2025-12-10 12:24:11.679000+00:00,2,22.97,11.53
2025-12-10 12:25:11.725000+00:00,2,18.97,9.17
2025-12-10 12:26:11.777000+00:00,2,18.9,9.09
2025-12-10 12:27:11.817000+00:00,2,18.87,9.38
2025-12-10 12:28:11.861000+00:00,2,16.57,8.08
2025-12-10 12:29:11.898000+00:00,1,18.37,8.62
2025-12-10 12:30:11.942000+00:00,1,19.12,9.26
2025-12-10 12:31:11.991000+00:00,1,18.3,8.58
2025-12-10 12:32:12.041000+00:00,1,0.0,0.0
