action,current_replicas,event_type,observed_itl,observed_replicas,observed_ttft,predicted_itl,predicted_replicas,predicted_ttft,target_replicas,timestamp
,,observed_metrics,0.0,1,0.0,,,,,2025-12-10T12:32:12.041Z
,,prediction,,,,7.47949,1,16.573616,,2025-12-10T12:32:12.041Z
no-change,1,scaling_decision,,,,,,,1,2025-12-10T12:32:12.041Z
,,observed_metrics,0.0,1,0.0,,,,,2025-12-10T12:33:12.065Z
,,prediction,,,,7.47949,1,16.573616,,2025-12-10T12:33:12.065Z
no-change,1,scaling_decision,,,,,,,1,2025-12-10T12:33:12.065Z
,,observed_metrics,0.0,1,0.0,,,,,2025-12-10T12:34:12.095Z
,,prediction,,,,7.47949,1,16.573616,,2025-12-10T12:34:12.096Z
no-change,1,scaling_decision,,,,,,,1,2025-12-10T12:34:12.096Z
,,observed_metrics,0.0,1,0.0,,,,,2025-12-10T12:35:12.123Z
,,prediction,,,,7.47949,1,16.573616,,2025-12-10T12:35:12.124Z
no-change,1,scaling_decision,,,,,,,1,2025-12-10T12:35:12.124Z
,,observed_metrics,0.0,1,0.0,,,,,2025-12-10T12:36:12.154Z
,,prediction,,,,7.47949,1,16.573616,,2025-12-10T12:36:12.154Z
no-change,1,scaling_decision,,,,,,,1,2025-12-10T12:36:12.154Z
,,observed_metrics,0.0,1,0.0,,,,,2025-12-10T12:37:12.179Z
,,prediction,,,,7.47949,1,16.573616,,2025-12-10T12:37:12.180Z
no-change,1,scaling_decision,,,,,,,1,2025-12-10T12:37:12.180Z
,,observed_metrics,7.22,1,15.58,,,,,2025-12-10T12:38:12.210Z
,,prediction,,,,7.2568965,1,15.754722,,2025-12-10T12:38:12.220Z
no-change,1,scaling_decision,,,,,,,1,2025-12-10T12:38:12.220Z
,,observed_metrics,7.94,1,17.03,,,,,2025-12-10T12:39:12.250Z
,,prediction,,,,7.9691963,1,17.013988,,2025-12-10T12:39:12.260Z
no-change,1,scaling_decision,,,,,,,1,2025-12-10T12:39:12.260Z
,,observed_metrics,7.75,1,16.37,,,,,2025-12-10T12:40:12.294Z
,,prediction,,,,7.7575607,1,16.435816,,2025-12-10T12:40:12.298Z
no-change,1,scaling_decision,,,,,,,1,2025-12-10T12:40:12.298Z
,,observed_metrics,7.82,1,16.64,,,,,2025-12-10T12:41:12.327Z
,,prediction,,,,7.8155947,1,16.62621,,2025-12-10T12:41:12.338Z
no-change,1,scaling_decision,,,,,,,1,2025-12-10T12:41:12.338Z
,,observed_metrics,12.5,1,24.63,,,,,2025-12-10T12:42:12.371Z
,,prediction,,,,8.400574,2,17.408348,,2025-12-10T12:42:12.383Z
scale-up,1,scaling_decision,,,,,,,2,2025-12-10T12:42:12.383Z
,,observed_metrics,12.12,1,22.64,,,,,2025-12-10T12:43:12.414Z
,,prediction,,,,9.130939,2,18.610113,,2025-12-10T12:43:12.575Z
scale-up,1,scaling_decision,,,,,,,2,2025-12-10T12:43:12.575Z
,,observed_metrics,11.99,1,22.68,,,,,2025-12-10T12:44:12.607Z
,,prediction,,,,9.070634,2,19.068249,,2025-12-10T12:44:12.618Z
scale-up,1,scaling_decision,,,,,,,2,2025-12-10T12:44:12.618Z
,,observed_metrics,25.17,2,44.02,,,,,2025-12-10T12:45:12.652Z
,,prediction,,,,9.46541,2,19.842579,,2025-12-10T12:45:12.662Z
no-change,2,scaling_decision,,,,,,,2,2025-12-10T12:45:12.662Z
,,observed_metrics,13.41,2,24.89,,,,,2025-12-10T12:46:12.714Z
,,prediction,,,,9.655777,4,20.460472,,2025-12-10T12:46:12.876Z
scale-up,2,scaling_decision,,,,,,,4,2025-12-10T12:46:12.876Z
,,observed_metrics,10.64,2,21.12,,,,,2025-12-10T12:47:12.909Z
,,prediction,,,,9.207966,3,19.689524,,2025-12-10T12:47:12.920Z
scale-up,2,scaling_decision,,,,,,,3,2025-12-10T12:47:12.920Z
,,observed_metrics,13.23,2,25.58,,,,,2025-12-10T12:48:12.951Z
,,prediction,,,,9.361698,4,20.89692,,2025-12-10T12:48:12.961Z
scale-up,2,scaling_decision,,,,,,,4,2025-12-10T12:48:12.961Z
,,observed_metrics,11.77,3,22.91,,,,,2025-12-10T12:49:13.005Z
,,prediction,,,,9.724643,3,21.40789,,2025-12-10T12:49:13.016Z
no-change,3,scaling_decision,,,,,,,3,2025-12-10T12:49:13.016Z
,,observed_metrics,9.69,3,20.02,,,,,2025-12-10T12:50:13.053Z
,,prediction,,,,9.689292,3,20.289665,,2025-12-10T12:50:13.064Z
no-change,3,scaling_decision,,,,,,,3,2025-12-10T12:50:13.064Z
,,observed_metrics,9.13,3,18.8,,,,,2025-12-10T12:51:13.097Z
,,prediction,,,,9.141729,3,18.985312,,2025-12-10T12:51:13.106Z
no-change,3,scaling_decision,,,,,,,3,2025-12-10T12:51:13.106Z
,,observed_metrics,8.38,3,17.26,,,,,2025-12-10T12:52:13.144Z
,,prediction,,,,9.357698,2,18.495867,,2025-12-10T12:52:13.154Z
scale-down,3,scaling_decision,,,,,,,2,2025-12-10T12:52:13.154Z
,,observed_metrics,8.7,2,17.88,,,,,2025-12-10T12:53:13.181Z
,,prediction,,,,8.681694,2,17.835848,,2025-12-10T12:53:13.191Z
no-change,2,scaling_decision,,,,,,,2,2025-12-10T12:53:13.191Z
,,observed_metrics,9.22,2,19.1,,,,,2025-12-10T12:54:13.228Z
,,prediction,,,,9.240843,2,18.956596,,2025-12-10T12:54:13.239Z
no-change,2,scaling_decision,,,,,,,2,2025-12-10T12:54:13.239Z
,,observed_metrics,7.82,2,17.22,,,,,2025-12-10T12:55:13.270Z
,,prediction,,,,9.157184,1,18.788763,,2025-12-10T12:55:13.280Z
scale-down,2,scaling_decision,,,,,,,1,2025-12-10T12:55:13.280Z
,,observed_metrics,8.86,1,18.38,,,,,2025-12-10T12:56:13.319Z
,,prediction,,,,8.762908,1,18.267094,,2025-12-10T12:56:13.329Z
no-change,1,scaling_decision,,,,,,,1,2025-12-10T12:56:13.329Z
,,observed_metrics,8.83,1,18.6,,,,,2025-12-10T12:57:13.360Z
,,prediction,,,,8.893621,1,18.602196,,2025-12-10T12:57:13.371Z
no-change,1,scaling_decision,,,,,,,1,2025-12-10T12:57:13.371Z
,,observed_metrics,0.0,1,0.0,,,,,2025-12-10T12:58:13.404Z
,,prediction,,,,6.975265,1,16.516243,,2025-12-10T12:58:13.404Z
no-change,1,scaling_decision,,,,,,,1,2025-12-10T12:58:13.404Z
,,observed_metrics,0.0,1,0.0,,,,,2025-12-10T12:59:13.435Z
,,prediction,,,,6.975265,1,16.516243,,2025-12-10T12:59:13.435Z
no-change,1,scaling_decision,,,,,,,1,2025-12-10T12:59:13.435Z
