timestamp,pod,kv_cache_usage,kv_cache_pct
2025-12-09 02:58:08.860000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4cs2crg,0.0,0.0
2025-12-09 02:59:09.088000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4cs2crg,0.0,0.0
2025-12-09 03:00:09.118000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4cs2crg,0.04,4.0
2025-12-09 03:01:09.148000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4cs2crg,0.0,0.0
2025-12-09 03:02:09.182000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4cs2crg,0.0,0.0
2025-12-09 03:03:09.211000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4cs2crg,0.0,0.0
2025-12-09 03:04:09.240000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4cs2crg,0.083,8.3
2025-12-09 03:05:09.272000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4cs2crg,0.099,9.9
2025-12-09 03:06:09.357000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4c727xc,0.072,7.2
2025-12-09 03:06:09.357000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4cs2crg,0.191,19.1
2025-12-09 03:07:09.393000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4c727xc,0.109,10.9
2025-12-09 03:07:09.393000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4cs2crg,0.12,12.0
2025-12-09 03:08:09.435000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4c727xc,0.078,7.8
2025-12-09 03:08:09.435000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4cs2crg,0.062,6.2
2025-12-09 03:08:09.435000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4cjckn7,0.013,1.3
2025-12-09 03:09:09.470000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4c727xc,0.029,2.9
2025-12-09 03:09:09.470000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4cs8gsk,0.004,0.4
2025-12-09 03:09:09.470000+00:00,ms-inference-scheduling-llm-d-modelservice-decode-666b5f4cs2crg,0.021,2.1
