timestamp,observed_replicas,observed_ttft,observed_itl
2025-12-09 04:01:11.583000+00:00,1,0.0,0.0
2025-12-09 04:02:11.615000+00:00,1,0.0,0.0
2025-12-09 04:03:11.642000+00:00,1,19.04,9.24
2025-12-09 04:04:11.675000+00:00,1,20.12,10.77
2025-12-09 04:05:11.708000+00:00,2,29.38,15.48
2025-12-09 04:06:11.746000+00:00,3,26.09,14.98
2025-12-09 04:07:11.779000+00:00,4,18.01,9.93
2025-12-09 04:08:11.812000+00:00,4,17.78,9.55
2025-12-09 04:09:11.853000+00:00,4,18.07,9.51
2025-12-09 04:10:11.888000+00:00,4,17.77,9.6
2025-12-09 04:11:11.930000+00:00,4,16.71,9.0
2025-12-09 04:12:11.974000+00:00,2,18.23,9.38
2025-12-09 04:13:12.008000+00:00,2,17.26,9.48
2025-12-09 04:14:12.071000+00:00,2,17.03,9.43
2025-12-09 04:15:12.109000+00:00,2,17.18,9.48
2025-12-09 04:16:12.145000+00:00,2,17.0,9.36
2025-12-09 04:17:12.183000+00:00,2,17.61,9.5
2025-12-09 04:18:12.216000+00:00,2,17.52,9.52
2025-12-09 04:19:12.255000+00:00,2,17.07,9.41
2025-12-09 04:20:12.289000+00:00,2,16.87,9.26
2025-12-09 04:21:12.325000+00:00,2,17.25,9.23
2025-12-09 04:22:12.361000+00:00,2,17.61,9.02
2025-12-09 04:23:12.409000+00:00,1,19.7,9.53
2025-12-09 04:24:12.438000+00:00,1,19.01,9.38
2025-12-09 04:25:12.472000+00:00,1,19.56,9.76
2025-12-09 04:26:12.504000+00:00,1,19.1,9.58
2025-12-09 04:27:12.538000+00:00,1,19.52,9.74
2025-12-09 04:28:12.570000+00:00,1,18.82,9.82
2025-12-09 04:29:12.602000+00:00,1,19.38,9.87
2025-12-09 04:30:12.632000+00:00,1,19.36,9.92
2025-12-09 04:31:12.671000+00:00,1,19.35,9.66
2025-12-09 04:32:12.703000+00:00,1,19.57,9.72
2025-12-09 04:33:12.736000+00:00,1,17.92,9.42
