action,current_replicas,event_type,observed_itl,observed_replicas,observed_ttft,predicted_itl,predicted_replicas,predicted_ttft,target_replicas,timestamp
,,observed_metrics,0.0,1,0.0,,,,,2025-12-09T05:50:32.066Z
,,prediction,,,,8.883561,1,17.267174,,2025-12-09T05:50:32.066Z
no-change,1,scaling_decision,,,,,,,1,2025-12-09T05:50:32.066Z
,,observed_metrics,0.0,1,0.0,,,,,2025-12-09T05:51:32.106Z
,,prediction,,,,8.883561,1,17.267174,,2025-12-09T05:51:32.106Z
no-change,1,scaling_decision,,,,,,,1,2025-12-09T05:51:32.106Z
,,observed_metrics,9.03,1,18.21,,,,,2025-12-09T05:52:32.136Z
,,prediction,,,,9.023505,1,17.577127,,2025-12-09T05:52:32.147Z
no-change,1,scaling_decision,,,,,,,1,2025-12-09T05:52:32.147Z
,,observed_metrics,10.43,1,19.14,,,,,2025-12-09T05:53:32.175Z
,,prediction,,,,9.673977,2,18.313116,,2025-12-09T05:53:32.180Z
scale-up,1,scaling_decision,,,,,,,2,2025-12-09T05:53:32.180Z
,,observed_metrics,12.46,1,24.11,,,,,2025-12-09T05:54:32.251Z
,,prediction,,,,9.999547,9,17.7589,,2025-12-09T05:54:32.260Z
scale-up,1,scaling_decision,,,,,,,9,2025-12-09T05:54:32.260Z
,,observed_metrics,11.93,2,20.68,,,,,2025-12-09T05:55:32.298Z
,,observed_metrics,8.89,2,16.04,,,,,2025-12-09T05:56:32.333Z
,,prediction,,,,9.989535,1,19.0687,,2025-12-09T05:56:32.338Z
scale-down,2,scaling_decision,,,,,,,1,2025-12-09T05:56:32.338Z
,,observed_metrics,22.3,1,38.18,,,,,2025-12-09T05:57:32.371Z
,,prediction,,,,9.951632,2,19.057648,,2025-12-09T05:57:32.379Z
scale-up,1,scaling_decision,,,,,,,2,2025-12-09T05:57:32.379Z
,,observed_metrics,28.21,1,48.01,,,,,2025-12-09T05:58:32.415Z
,,prediction,,,,9.809204,4,18.66885,,2025-12-09T05:58:32.419Z
scale-up,1,scaling_decision,,,,,,,4,2025-12-09T05:58:32.419Z
,,observed_metrics,14.4,1,27.2,,,,,2025-12-09T05:59:32.459Z
,,prediction,,,,9.838893,3,18.814478,,2025-12-09T05:59:32.470Z
scale-up,1,scaling_decision,,,,,,,3,2025-12-09T05:59:32.470Z
,,observed_metrics,11.04,2,22.05,,,,,2025-12-09T06:00:32.508Z
,,prediction,,,,9.9883,3,19.110159,,2025-12-09T06:00:32.518Z
scale-up,2,scaling_decision,,,,,,,3,2025-12-09T06:00:32.518Z
,,observed_metrics,9.26,3,17.34,,,,,2025-12-09T06:01:32.547Z
,,prediction,,,,9.862904,2,19.072388,,2025-12-09T06:01:32.551Z
