timestamp,current_replicas,target_replicas,action,time_minutes
2025-12-10 13:10:13.840000+00:00,1,1,no-change,0.0
2025-12-10 13:11:13.867000+00:00,1,1,no-change,1.00045
2025-12-10 13:12:13.913000+00:00,1,1,no-change,2.0012166666666666
2025-12-10 13:13:13.943000+00:00,1,1,no-change,3.001716666666667
2025-12-10 13:14:13.977000+00:00,1,1,no-change,4.002283333333334
2025-12-10 13:15:14.007000+00:00,1,1,no-change,5.0027833333333325
2025-12-10 13:16:14.065000+00:00,1,1,no-change,6.00375
2025-12-10 13:17:14.107000+00:00,1,1,no-change,7.00445
2025-12-10 13:18:14.150000+00:00,1,2,scale-up,8.005166666666666
2025-12-10 13:19:14.185000+00:00,1,2,scale-up,9.00575
2025-12-10 13:20:14.234000+00:00,1,2,scale-up,10.006566666666666
2025-12-10 13:21:14.276000+00:00,2,2,no-change,11.007266666666668
2025-12-10 13:22:14.320000+00:00,2,4,scale-up,12.008000000000001
2025-12-10 13:23:14.357000+00:00,2,3,scale-up,13.008616666666667
2025-12-10 13:24:14.402000+00:00,2,2,no-change,14.009366666666667
2025-12-10 13:25:14.444000+00:00,2,1,scale-down,15.010066666666667
2025-12-10 13:26:14.497000+00:00,1,2,scale-up,16.01095
2025-12-10 13:27:14.530000+00:00,1,2,scale-up,17.0115
2025-12-10 13:28:14.578000+00:00,1,2,scale-up,18.0123
2025-12-10 13:29:14.619000+00:00,2,2,no-change,19.012983333333334
2025-12-10 13:30:14.663000+00:00,2,2,no-change,20.013716666666667
2025-12-10 13:31:14.703000+00:00,2,1,scale-down,21.014383333333335
2025-12-10 13:32:14.757000+00:00,1,1,no-change,22.015283333333333
2025-12-10 13:33:14.797000+00:00,1,1,no-change,23.01595
2025-12-10 13:34:14.835000+00:00,1,1,no-change,24.016583333333333
2025-12-10 13:35:14.877000+00:00,1,2,scale-up,25.017283333333335
2025-12-10 13:36:14.923000+00:00,1,1,no-change,26.018050000000002
2025-12-10 13:37:14.963000+00:00,1,1,no-change,27.018716666666666
2025-12-10 13:38:15.092000+00:00,1,1,no-change,28.020866666666667
2025-12-10 13:39:15.130000+00:00,1,1,no-change,29.0215
2025-12-10 13:40:15.173000+00:00,1,1,no-change,30.02221666666667
2025-12-10 13:41:15.219000+00:00,1,1,no-change,31.022983333333332
2025-12-10 13:42:15.256000+00:00,1,1,no-change,32.0236
2025-12-10 13:43:15.301000+00:00,1,1,no-change,33.02435
2025-12-10 13:44:15.346000+00:00,1,1,no-change,34.0251
2025-12-10 13:45:15.386000+00:00,1,1,no-change,35.02576666666666
2025-12-10 13:46:15.428000+00:00,1,1,no-change,36.02646666666667
2025-12-10 13:47:15.452000+00:00,1,1,no-change,37.02686666666667
