action,current_replicas,event_type,observed_itl,observed_replicas,observed_ttft,predicted_itl,predicted_replicas,predicted_ttft,slo_itl,slo_ttft,target_replicas,timestamp
,,slo,,,,,,,10,1000,,2025-12-06T19:48:08.120Z
,,observed_metrics,0.0,1,0.0,,,,,,,2025-12-06T19:48:08.130Z
,,prediction,,,,6.7046924,1,15.973344,,,,2025-12-06T19:48:08.130Z
no-change,1,scaling_decision,,,,,,,,,1,2025-12-06T19:48:08.130Z
,,slo,,,,,,,10,1000,,2025-12-06T19:48:08.140Z
,,observed_metrics,0.0,1,0.0,,,,,,,2025-12-06T19:48:08.147Z
,,prediction,,,,6.7046924,1,15.973344,,,,2025-12-06T19:48:08.147Z
no-change,1,scaling_decision,,,,,,,,,1,2025-12-06T19:48:08.147Z
,,slo,,,,,,,10,1000,,2025-12-06T19:49:08.144Z
,,observed_metrics,0.0,1,0.0,,,,,,,2025-12-06T19:49:08.152Z
,,prediction,,,,6.7046924,1,15.973344,,,,2025-12-06T19:49:08.152Z
no-change,1,scaling_decision,,,,,,,,,1,2025-12-06T19:49:08.152Z
,,slo,,,,,,,10,1000,,2025-12-06T19:49:08.176Z
,,observed_metrics,0.0,1,0.0,,,,,,,2025-12-06T19:49:08.184Z
,,prediction,,,,6.7046924,1,15.973344,,,,2025-12-06T19:49:08.184Z
no-change,1,scaling_decision,,,,,,,,,1,2025-12-06T19:49:08.184Z
,,slo,,,,,,,10,1000,,2025-12-06T19:50:08.184Z
,,observed_metrics,7.43,1,16.05,,,,,,,2025-12-06T19:50:08.193Z
,,prediction,,,,7.378539,1,16.634642,,,,2025-12-06T19:50:08.202Z
no-change,1,scaling_decision,,,,,,,,,1,2025-12-06T19:50:08.202Z
,,slo,,,,,,,10,1000,,2025-12-06T19:50:08.217Z
,,observed_metrics,7.43,1,16.05,,,,,,,2025-12-06T19:50:08.224Z
,,prediction,,,,7.416865,1,16.619356,,,,2025-12-06T19:50:08.233Z
no-change,1,scaling_decision,,,,,,,,,1,2025-12-06T19:50:08.233Z
,,slo,,,,,,,10,1000,,2025-12-06T19:51:08.220Z
,,observed_metrics,7.8,1,16.34,,,,,,,2025-12-06T19:51:08.229Z
,,prediction,,,,7.8806314,1,17.56993,,,,2025-12-06T19:51:08.237Z
no-change,1,scaling_decision,,,,,,,,,1,2025-12-06T19:51:08.237Z
,,slo,,,,,,,10,1000,,2025-12-06T19:51:08.246Z
,,observed_metrics,7.8,1,16.34,,,,,,,2025-12-06T19:51:08.254Z
,,prediction,,,,7.8192854,1,17.519892,,,,2025-12-06T19:51:08.263Z
no-change,1,scaling_decision,,,,,,,,,1,2025-12-06T19:51:08.263Z
,,slo,,,,,,,10,1000,,2025-12-06T19:52:08.253Z
,,observed_metrics,8.31,1,16.97,,,,,,,2025-12-06T19:52:08.261Z
,,prediction,,,,8.251742,1,17.680466,,,,2025-12-06T19:52:08.271Z
no-change,1,scaling_decision,,,,,,,,,1,2025-12-06T19:52:08.271Z
,,slo,,,,,,,10,1000,,2025-12-06T19:52:08.282Z
,,observed_metrics,8.31,1,16.97,,,,,,,2025-12-06T19:52:08.289Z
,,prediction,,,,8.296925,1,17.667894,,,,2025-12-06T19:52:08.299Z
no-change,1,scaling_decision,,,,,,,,,1,2025-12-06T19:52:08.299Z
,,slo,,,,,,,10,1000,,2025-12-06T19:53:08.289Z
,,observed_metrics,9.08,1,19.12,,,,,,,2025-12-06T19:53:08.297Z
,,prediction,,,,9.116949,1,19.266428,,,,2025-12-06T19:53:08.308Z
no-change,1,scaling_decision,,,,,,,,,1,2025-12-06T19:53:08.308Z
,,slo,,,,,,,10,1000,,2025-12-06T19:53:08.320Z
,,observed_metrics,9.08,1,19.12,,,,,,,2025-12-06T19:53:08.328Z
,,prediction,,,,9.087009,1,19.251217,,,,2025-12-06T19:53:08.337Z
no-change,1,scaling_decision,,,,,,,,,1,2025-12-06T19:53:08.337Z
,,slo,,,,,,,10,1000,,2025-12-06T19:54:08.326Z
,,observed_metrics,10.21,1,20.59,,,,,,,2025-12-06T19:54:08.336Z
,,prediction,,,,8.443028,2,17.586924,,,,2025-12-06T19:54:08.345Z
scale-up,1,scaling_decision,,,,,,,,,2,2025-12-06T19:54:08.345Z
,,slo,,,,,,,10,1000,,2025-12-06T19:54:08.356Z
,,observed_metrics,10.21,1,20.59,,,,,,,2025-12-06T19:54:08.364Z
,,prediction,,,,8.522188,2,17.621756,,,,2025-12-06T19:54:08.372Z
scale-up,1,scaling_decision,,,,,,,,,2,2025-12-06T19:54:08.372Z
,,slo,,,,,,,10,1000,,2025-12-06T19:55:08.360Z
,,observed_metrics,11.06,2,22.36,,,,,,,2025-12-06T19:55:08.369Z
,,prediction,,,,9.049885,2,18.294907,,,,2025-12-06T19:55:08.379Z
no-change,2,scaling_decision,,,,,,,,,2,2025-12-06T19:55:08.379Z
,,slo,,,,,,,10,1000,,2025-12-06T19:55:08.389Z
,,observed_metrics,11.06,2,22.36,,,,,,,2025-12-06T19:55:08.396Z
,,prediction,,,,9.049885,2,18.294907,,,,2025-12-06T19:55:08.406Z
no-change,2,scaling_decision,,,,,,,,,2,2025-12-06T19:55:08.406Z
,,slo,,,,,,,10,1000,,2025-12-06T19:56:08.398Z
,,observed_metrics,11.59,2,23.05,,,,,,,2025-12-06T19:56:08.406Z
,,prediction,,,,8.959557,2,18.294556,,,,2025-12-06T19:56:08.416Z
no-change,2,scaling_decision,,,,,,,,,2,2025-12-06T19:56:08.416Z
,,slo,,,,,,,10,1000,,2025-12-06T19:56:08.427Z
,,observed_metrics,11.59,2,23.05,,,,,,,2025-12-06T19:56:08.434Z
,,prediction,,,,8.959557,2,18.294556,,,,2025-12-06T19:56:08.442Z
no-change,2,scaling_decision,,,,,,,,,2,2025-12-06T19:56:08.442Z
,,slo,,,,,,,10,1000,,2025-12-06T19:57:08.432Z
,,observed_metrics,10.8,2,21.12,,,,,,,2025-12-06T19:57:08.440Z
,,prediction,,,,9.120532,2,18.23368,,,,2025-12-06T19:57:08.451Z
no-change,2,scaling_decision,,,,,,,,,2,2025-12-06T19:57:08.451Z
,,slo,,,,,,,10,1000,,2025-12-06T19:57:08.462Z
,,observed_metrics,10.8,2,21.12,,,,,,,2025-12-06T19:57:08.471Z
,,prediction,,,,9.120532,2,18.23368,,,,2025-12-06T19:57:08.482Z
no-change,2,scaling_decision,,,,,,,,,2,2025-12-06T19:57:08.482Z
,,slo,,,,,,,10,1000,,2025-12-06T19:58:08.474Z
,,observed_metrics,9.26,2,18.55,,,,,,,2025-12-06T19:58:08.483Z
,,prediction,,,,9.358179,2,19.215164,,,,2025-12-06T19:58:08.491Z
no-change,2,scaling_decision,,,,,,,,,2,2025-12-06T19:58:08.491Z
,,slo,,,,,,,10,1000,,2025-12-06T19:58:08.501Z
,,observed_metrics,9.26,2,18.55,,,,,,,2025-12-06T19:58:08.509Z
,,prediction,,,,9.277611,2,19.16705,,,,2025-12-06T19:58:08.518Z
no-change,2,scaling_decision,,,,,,,,,2,2025-12-06T19:58:08.518Z
,,slo,,,,,,,10,1000,,2025-12-06T19:59:08.506Z
,,observed_metrics,9.94,2,19.9,,,,,,,2025-12-06T19:59:08.515Z
,,prediction,,,,9.911476,2,20.027716,,,,2025-12-06T19:59:08.525Z
no-change,2,scaling_decision,,,,,,,,,2,2025-12-06T19:59:08.525Z
,,slo,,,,,,,10,1000,,2025-12-06T19:59:08.535Z
,,observed_metrics,9.94,2,19.9,,,,,,,2025-12-06T19:59:08.542Z
,,prediction,,,,9.935421,2,20.03346,,,,2025-12-06T19:59:08.552Z
no-change,2,scaling_decision,,,,,,,,,2,2025-12-06T19:59:08.552Z
,,slo,,,,,,,10,1000,,2025-12-06T20:00:08.540Z
,,observed_metrics,10.01,2,20.17,,,,,,,2025-12-06T20:00:08.551Z
,,prediction,,,,9.843781,2,19.261465,,,,2025-12-06T20:00:08.560Z
no-change,2,scaling_decision,,,,,,,,,2,2025-12-06T20:00:08.560Z
,,slo,,,,,,,10,1000,,2025-12-06T20:00:08.573Z
,,observed_metrics,10.01,2,20.17,,,,,,,2025-12-06T20:00:08.581Z
,,prediction,,,,9.9813175,2,19.332792,,,,2025-12-06T20:00:08.592Z
no-change,2,scaling_decision,,,,,,,,,2,2025-12-06T20:00:08.592Z
,,slo,,,,,,,10,1000,,2025-12-06T20:01:08.577Z
,,observed_metrics,10.87,2,21.38,,,,,,,2025-12-06T20:01:08.587Z
,,prediction,,,,9.659402,3,19.145681,,,,2025-12-06T20:01:08.592Z
scale-up,2,scaling_decision,,,,,,,,,3,2025-12-06T20:01:08.592Z
,,slo,,,,,,,10,1000,,2025-12-06T20:01:08.605Z
,,observed_metrics,10.87,2,21.38,,,,,,,2025-12-06T20:01:08.613Z
,,prediction,,,,9.562324,3,19.114391,,,,2025-12-06T20:01:08.623Z
scale-up,2,scaling_decision,,,,,,,,,3,2025-12-06T20:01:08.623Z
,,slo,,,,,,,10,1000,,2025-12-06T20:02:08.615Z
,,observed_metrics,10.32,3,20.36,,,,,,,2025-12-06T20:02:08.625Z
,,prediction,,,,9.726483,4,18.137001,,,,2025-12-06T20:02:08.634Z
scale-up,3,scaling_decision,,,,,,,,,4,2025-12-06T20:02:08.635Z
,,slo,,,,,,,10,1000,,2025-12-06T20:02:08.645Z
,,observed_metrics,10.32,3,20.36,,,,,,,2025-12-06T20:02:08.653Z
,,prediction,,,,9.860439,4,18.206724,,,,2025-12-06T20:02:08.662Z
scale-up,3,scaling_decision,,,,,,,,,4,2025-12-06T20:02:08.662Z
,,slo,,,,,,,10,1000,,2025-12-06T20:03:08.654Z
,,observed_metrics,10.18,4,20.35,,,,,,,2025-12-06T20:03:08.664Z
,,prediction,,,,9.881444,5,17.771963,,,,2025-12-06T20:03:08.673Z
scale-up,4,scaling_decision,,,,,,,,,5,2025-12-06T20:03:08.673Z
,,slo,,,,,,,10,1000,,2025-12-06T20:03:08.685Z
,,observed_metrics,10.18,4,20.35,,,,,,,2025-12-06T20:03:08.696Z
,,prediction,,,,9.933247,5,17.844925,,,,2025-12-06T20:03:08.705Z
scale-up,4,scaling_decision,,,,,,,,,5,2025-12-06T20:03:08.705Z
,,slo,,,,,,,10,1000,,2025-12-06T20:04:08.692Z
,,observed_metrics,9.3,5,18.88,,,,,,,2025-12-06T20:04:08.701Z
,,prediction,,,,9.87052,3,18.44903,,,,2025-12-06T20:04:08.711Z
scale-down,5,scaling_decision,,,,,,,,,3,2025-12-06T20:04:08.711Z
,,slo,,,,,,,10,1000,,2025-12-06T20:04:08.724Z
,,observed_metrics,9.3,5,18.88,,,,,,,2025-12-06T20:04:08.732Z
,,prediction,,,,9.802376,3,18.476925,,,,2025-12-06T20:04:08.742Z
scale-down,5,scaling_decision,,,,,,,,,3,2025-12-06T20:04:08.742Z
,,slo,,,,,,,10,1000,,2025-12-06T20:05:08.728Z
,,observed_metrics,8.16,3,16.81,,,,,,,2025-12-06T20:05:08.737Z
,,prediction,,,,8.931996,2,19.147745,,,,2025-12-06T20:05:08.741Z
scale-down,3,scaling_decision,,,,,,,,,2,2025-12-06T20:05:08.741Z
,,slo,,,,,,,10,1000,,2025-12-06T20:05:08.753Z
,,observed_metrics,8.16,3,16.81,,,,,,,2025-12-06T20:05:08.762Z
,,prediction,,,,8.692706,2,19.032112,,,,2025-12-06T20:05:08.798Z
scale-down,3,scaling_decision,,,,,,,,,2,2025-12-06T20:05:08.798Z
,,slo,,,,,,,10,1000,,2025-12-06T20:06:08.761Z
,,observed_metrics,8.52,2,17.64,,,,,,,2025-12-06T20:06:08.770Z
,,prediction,,,,9.708551,1,21.167786,,,,2025-12-06T20:06:08.780Z
scale-down,2,scaling_decision,,,,,,,,,1,2025-12-06T20:06:08.780Z
,,slo,,,,,,,10,1000,,2025-12-06T20:06:08.808Z
,,observed_metrics,8.52,2,17.64,,,,,,,2025-12-06T20:06:08.817Z
,,prediction,,,,9.7424,1,21.163734,,,,2025-12-06T20:06:08.822Z
scale-down,2,scaling_decision,,,,,,,,,1,2025-12-06T20:06:08.822Z
,,slo,,,,,,,10,1000,,2025-12-06T20:07:08.796Z
,,observed_metrics,10.36,1,20.72,,,,,,,2025-12-06T20:07:08.806Z
,,prediction,,,,8.946943,2,18.078606,,,,2025-12-06T20:07:08.814Z
scale-up,1,scaling_decision,,,,,,,,,2,2025-12-06T20:07:08.814Z
,,slo,,,,,,,10,1000,,2025-12-06T20:07:08.831Z
,,observed_metrics,10.36,1,20.72,,,,,,,2025-12-06T20:07:08.839Z
,,prediction,,,,9.022484,2,18.09745,,,,2025-12-06T20:07:08.849Z
scale-up,1,scaling_decision,,,,,,,,,2,2025-12-06T20:07:08.849Z
,,slo,,,,,,,10,1000,,2025-12-06T20:08:08.839Z
,,observed_metrics,9.9,2,19.68,,,,,,,2025-12-06T20:08:08.849Z
,,prediction,,,,9.747215,2,18.20421,,,,2025-12-06T20:08:08.859Z
no-change,2,scaling_decision,,,,,,,,,2,2025-12-06T20:08:08.859Z
,,slo,,,,,,,10,1000,,2025-12-06T20:08:08.869Z
,,observed_metrics,9.9,2,19.68,,,,,,,2025-12-06T20:08:08.877Z
,,prediction,,,,9.871981,2,18.274439,,,,2025-12-06T20:08:08.881Z
no-change,2,scaling_decision,,,,,,,,,2,2025-12-06T20:08:08.881Z
,,slo,,,,,,,10,1000,,2025-12-06T20:09:08.874Z
,,observed_metrics,9.28,2,19.28,,,,,,,2025-12-06T20:09:08.883Z
,,prediction,,,,9.365157,2,18.052263,,,,2025-12-06T20:09:08.893Z
no-change,2,scaling_decision,,,,,,,,,2,2025-12-06T20:09:08.893Z
,,slo,,,,,,,10,1000,,2025-12-06T20:09:08.904Z
,,observed_metrics,9.28,2,19.28,,,,,,,2025-12-06T20:09:08.918Z
,,prediction,,,,9.296409,2,18.077394,,,,2025-12-06T20:09:08.928Z
no-change,2,scaling_decision,,,,,,,,,2,2025-12-06T20:09:08.928Z
,,slo,,,,,,,10,1000,,2025-12-06T20:10:08.916Z
,,observed_metrics,8.57,2,17.54,,,,,,,2025-12-06T20:10:08.924Z
,,prediction,,,,9.2527,1,18.494774,,,,2025-12-06T20:10:08.934Z
scale-down,2,scaling_decision,,,,,,,,,1,2025-12-06T20:10:08.934Z
,,slo,,,,,,,10,1000,,2025-12-06T20:10:09.019Z
,,observed_metrics,8.57,2,17.54,,,,,,,2025-12-06T20:10:09.027Z
,,prediction,,,,9.1844425,1,18.48569,,,,2025-12-06T20:10:09.037Z
scale-down,2,scaling_decision,,,,,,,,,1,2025-12-06T20:10:09.037Z
,,slo,,,,,,,10,1000,,2025-12-06T20:11:09.026Z
,,observed_metrics,7.55,1,15.71,,,,,,,2025-12-06T20:11:09.035Z
,,prediction,,,,7.7822814,1,17.310053,,,,2025-12-06T20:11:09.045Z
no-change,1,scaling_decision,,,,,,,,,1,2025-12-06T20:11:09.045Z
,,slo,,,,,,,10,1000,,2025-12-06T20:11:09.058Z
,,observed_metrics,7.55,1,15.71,,,,,,,2025-12-06T20:11:09.067Z
,,prediction,,,,7.6066356,1,17.23711,,,,2025-12-06T20:11:09.107Z
no-change,1,scaling_decision,,,,,,,,,1,2025-12-06T20:11:09.107Z
,,slo,,,,,,,10,1000,,2025-12-06T20:12:09.062Z
,,observed_metrics,7.58,1,15.99,,,,,,,2025-12-06T20:12:09.072Z
,,prediction,,,,7.499269,1,16.53735,,,,2025-12-06T20:12:09.081Z
no-change,1,scaling_decision,,,,,,,,,1,2025-12-06T20:12:09.081Z
,,slo,,,,,,,10,1000,,2025-12-06T20:12:09.117Z
,,observed_metrics,7.58,1,15.99,,,,,,,2025-12-06T20:12:09.125Z
,,prediction,,,,7.559177,1,16.523031,,,,2025-12-06T20:12:09.134Z
no-change,1,scaling_decision,,,,,,,,,1,2025-12-06T20:12:09.134Z
,,slo,,,,,,,10,1000,,2025-12-06T20:13:09.098Z
,,observed_metrics,0.0,1,0.0,,,,,,,2025-12-06T20:13:09.106Z
,,prediction,,,,7.4013324,1,16.080252,,,,2025-12-06T20:13:09.107Z
no-change,1,scaling_decision,,,,,,,,,1,2025-12-06T20:13:09.107Z
,,slo,,,,,,,10,1000,,2025-12-06T20:13:09.145Z
,,observed_metrics,0.0,1,0.0,,,,,,,2025-12-06T20:13:09.153Z
,,prediction,,,,7.4013324,1,16.080252,,,,2025-12-06T20:13:09.153Z
no-change,1,scaling_decision,,,,,,,,,1,2025-12-06T20:13:09.153Z
