timestamp,observed_replicas,observed_ttft,observed_itl
2025-12-06 19:48:08.147000+00:00,1,0.0,0.0
2025-12-06 19:49:08.184000+00:00,1,0.0,0.0
2025-12-06 19:50:08.224000+00:00,1,16.05,7.43
2025-12-06 19:51:08.254000+00:00,1,16.34,7.8
2025-12-06 19:52:08.289000+00:00,1,16.97,8.31
2025-12-06 19:53:08.328000+00:00,1,19.12,9.08
2025-12-06 19:54:08.364000+00:00,1,20.59,10.21
2025-12-06 19:55:08.396000+00:00,2,22.36,11.06
2025-12-06 19:56:08.434000+00:00,2,23.05,11.59
2025-12-06 19:57:08.471000+00:00,2,21.12,10.8
2025-12-06 19:58:08.509000+00:00,2,18.55,9.26
2025-12-06 19:59:08.542000+00:00,2,19.9,9.94
2025-12-06 20:00:08.581000+00:00,2,20.17,10.01
2025-12-06 20:01:08.613000+00:00,2,21.38,10.87
2025-12-06 20:02:08.653000+00:00,3,20.36,10.32
2025-12-06 20:03:08.696000+00:00,4,20.35,10.18
2025-12-06 20:04:08.732000+00:00,5,18.88,9.3
2025-12-06 20:05:08.762000+00:00,3,16.81,8.16
2025-12-06 20:06:08.817000+00:00,2,17.64,8.52
2025-12-06 20:07:08.839000+00:00,1,20.72,10.36
2025-12-06 20:08:08.877000+00:00,2,19.68,9.9
2025-12-06 20:09:08.918000+00:00,2,19.28,9.28
2025-12-06 20:10:08.924000+00:00,2,17.54,8.57
2025-12-06 20:10:09.027000+00:00,2,17.54,8.57
2025-12-06 20:11:09.067000+00:00,1,15.71,7.55
2025-12-06 20:12:09.125000+00:00,1,15.99,7.58
2025-12-06 20:13:09.153000+00:00,1,0.0,0.0
