timestamp,current_replicas,target_replicas,action,time_minutes
2025-12-06 19:48:08.147000+00:00,1,1,no-change,0.0
2025-12-06 19:49:08.184000+00:00,1,1,no-change,1.0006166666666667
2025-12-06 19:50:08.233000+00:00,1,1,no-change,2.0014333333333334
2025-12-06 19:51:08.263000+00:00,1,1,no-change,3.0019333333333336
2025-12-06 19:52:08.299000+00:00,1,1,no-change,4.002533333333333
2025-12-06 19:53:08.337000+00:00,1,1,no-change,5.003166666666667
2025-12-06 19:54:08.372000+00:00,1,2,scale-up,6.00375
2025-12-06 19:55:08.406000+00:00,2,2,no-change,7.004316666666667
2025-12-06 19:56:08.442000+00:00,2,2,no-change,8.004916666666666
2025-12-06 19:57:08.482000+00:00,2,2,no-change,9.005583333333334
2025-12-06 19:58:08.518000+00:00,2,2,no-change,10.006183333333333
2025-12-06 19:59:08.552000+00:00,2,2,no-change,11.00675
2025-12-06 20:00:08.592000+00:00,2,2,no-change,12.007416666666668
2025-12-06 20:01:08.623000+00:00,2,3,scale-up,13.007933333333334
2025-12-06 20:02:08.662000+00:00,3,4,scale-up,14.008583333333332
2025-12-06 20:03:08.705000+00:00,4,5,scale-up,15.0093
2025-12-06 20:04:08.742000+00:00,5,3,scale-down,16.009916666666665
2025-12-06 20:05:08.798000+00:00,3,2,scale-down,17.010849999999998
2025-12-06 20:06:08.822000+00:00,2,1,scale-down,18.01125
2025-12-06 20:07:08.849000+00:00,1,2,scale-up,19.0117
2025-12-06 20:08:08.881000+00:00,2,2,no-change,20.01223333333333
2025-12-06 20:09:08.928000+00:00,2,2,no-change,21.013016666666665
2025-12-06 20:10:08.934000+00:00,2,1,scale-down,22.01311666666667
2025-12-06 20:10:09.037000+00:00,2,1,scale-down,22.014833333333335
2025-12-06 20:11:09.107000+00:00,1,1,no-change,23.016000000000002
2025-12-06 20:12:09.134000+00:00,1,1,no-change,24.016450000000003
2025-12-06 20:13:09.153000+00:00,1,1,no-change,25.01676666666667
